,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_40826,2,2,2,2,2,2,2,2,2,2
1,sequence_40787,2,2,2,2,2,2,2,2,2,2
2,sequence_40789,27,27,27,27,27,27,27,27,27,27
3,sequence_40794,27,27,27,27,27,27,27,27,27,27
4,sequence_40806,23,23,23,23,23,23,23,23,23,23
5,sequence_40807,5,5,5,5,5,5,5,5,5,5
6,sequence_40809,23,23,23,23,23,23,23,23,23,23
7,sequence_40811,20,20,20,20,20,20,20,20,20,20
8,sequence_40813,2,2,2,2,2,2,2,2,2,2
9,sequence_40814,9,9,9,9,9,9,9,9,9,9
10,sequence_40845,9,9,9,9,9,9,9,9,9,9
11,sequence_40855,2,2,2,2,2,2,2,2,2,2
12,sequence_40857,2,2,2,2,2,2,2,2,2,2
13,sequence_40840,2,2,2,2,2,2,2,2,2,2
14,sequence_40841,2,2,2,2,2,2,2,2,2,2
15,sequence_40842,2,2,2,2,2,2,2,2,2,2
16,sequence_40844,7,7,7,7,7,7,7,7,7,7
17,sequence_40838,2,2,2,2,2,2,2,2,2,2
18,sequence_40816,18,18,18,18,18,18,18,18,18,18
19,sequence_40817,2,2,2,2,2,2,2,2,2,2
20,sequence_40818,18,18,18,18,18,18,18,18,18,18
21,sequence_40827,13,13,13,13,13,13,13,13,13,13
22,sequence_40828,13,13,13,13,13,13,13,13,13,13
23,sequence_40829,21,21,21,21,21,21,21,21,21,21
24,sequence_40831,21,21,21,21,21,21,21,21,21,21
25,sequence_40856,7,7,7,7,7,7,7,7,7,7
26,sequence_40815,1,1,1,1,1,1,1,1,1,1
27,sequence_40851,4,4,4,4,4,4,4,4,4,4
28,sequence_40847,1,1,1,1,1,1,1,1,1,1
29,sequence_40858,7,7,7,7,7,7,7,7,7,7
30,sequence_40852,1,1,1,1,1,1,1,1,1,1
31,sequence_40843,7,7,7,7,7,7,7,7,7,7
32,sequence_40846,4,4,4,4,4,4,4,4,4,4
33,sequence_40791,16,16,16,16,16,16,16,16,16,16
34,sequence_40793,16,16,16,16,16,16,16,16,16,16
35,sequence_40861,1,1,1,1,1,1,1,1,1,1
36,sequence_40812,8,8,8,8,8,8,8,8,8,8
37,sequence_40854,1,1,1,1,1,1,1,1,1,1
38,sequence_40853,12,12,12,12,12,12,12,12,12,12
39,sequence_40848,1,1,1,1,1,1,1,1,1,1
40,sequence_40849,1,1,1,1,1,1,1,1,1,1
41,sequence_40850,22,22,22,22,22,22,22,22,22,22
42,sequence_40792,15,15,15,15,15,15,15,15,15,15
43,sequence_40790,15,15,15,15,15,15,15,15,15,15
44,sequence_40860,0,0,0,0,0,0,0,0,0,0
45,sequence_40839,2,2,2,2,2,2,2,2,2,2
46,sequence_40835,17,17,17,17,17,17,17,17,17,17
47,sequence_40819,17,17,17,17,17,17,17,17,17,17
48,sequence_40824,2,2,2,2,2,2,2,2,2,2
49,sequence_40825,26,26,26,26,26,26,26,26,26,26
50,sequence_40797,11,11,11,11,11,11,11,11,11,11
51,sequence_40800,11,11,11,11,11,11,11,11,11,11
52,sequence_40803,10,10,10,10,10,10,10,10,10,10
53,sequence_40804,11,11,11,11,11,11,11,11,11,11
54,sequence_40805,11,11,11,11,11,11,11,11,11,11
55,sequence_40864,10,10,10,10,10,10,10,10,10,10
56,sequence_40808,5,5,5,5,5,5,5,5,5,5
57,sequence_40810,2,2,2,2,2,2,2,2,2,2
58,sequence_40862,0,0,0,0,0,0,0,0,0,0
59,sequence_40859,14,14,14,14,14,14,14,14,14,14
60,sequence_40836,2,2,2,2,2,2,2,2,2,2
61,sequence_40837,17,17,17,17,17,17,17,17,17,17
62,sequence_40820,6,6,6,6,6,6,6,6,6,6
63,sequence_40821,6,6,6,6,6,6,6,6,6,6
64,sequence_40822,2,2,2,2,2,2,2,2,2,2
65,sequence_40823,2,2,2,2,2,2,2,2,2,2
66,sequence_40834,24,24,24,24,24,24,24,24,24,24
67,sequence_40832,2,2,2,2,2,2,2,2,2,2
68,sequence_40833,25,25,25,25,25,25,25,25,25,25
69,sequence_40830,13,13,13,13,13,13,13,13,13,13
70,sequence_40798,3,3,3,3,3,3,3,3,3,3
71,sequence_40865,13,13,13,13,13,13,13,13,13,13
72,sequence_40863,6,6,6,6,6,6,6,6,6,6
73,sequence_40801,3,3,3,3,3,3,3,3,3,3
74,sequence_40802,0,0,0,0,0,0,0,0,0,0
75,sequence_40796,19,19,19,19,19,19,19,19,19,19
76,sequence_40795,6,6,6,6,6,6,6,6,6,6
77,sequence_40866,3,3,3,3,3,3,3,3,3,3
78,sequence_40799,3,3,3,3,3,3,3,3,3,3
79,sequence_40788,28,28,28,28,28,28,28,28,28,28
80,sequence_40867,3,3,3,3,3,3,3,3,3,3
