,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,2,2,2,2,2,2,2,2,2,2
1,sequence_47684,2,2,2,2,2,2,2,2,2,2
2,sequence_47789,5,5,5,5,5,5,5,5,5,5
3,sequence_47790,5,5,5,5,5,5,5,5,5,5
4,sequence_47781,1,1,1,1,1,1,1,1,1,1
5,sequence_47777,1,1,1,1,1,1,1,1,1,1
6,sequence_47779,1,1,1,1,1,1,1,1,1,1
7,sequence_47784,4,4,4,4,4,4,4,4,4,4
8,sequence_47786,1,1,1,1,1,1,1,1,1,1
9,sequence_47782,1,1,1,1,1,1,1,1,1,1
10,sequence_47772,2,2,2,2,2,2,2,2,2,2
11,sequence_47795,2,2,2,2,2,2,2,2,2,2
12,sequence_47776,2,2,2,2,2,2,2,2,2,2
13,sequence_47685,2,2,2,2,2,2,2,2,2,2
14,sequence_47679,1,1,1,1,1,1,1,1,1,1
15,sequence_47695,2,2,2,2,2,2,2,2,2,2
16,sequence_47710,2,2,2,2,2,2,2,2,2,2
17,sequence_47686,5,5,5,5,5,5,5,5,5,5
18,sequence_47778,7,7,7,7,7,7,7,7,7,7
19,sequence_47780,7,7,7,7,7,7,7,7,7,7
20,sequence_47785,7,7,7,7,7,7,7,7,7,7
21,sequence_47803,5,5,5,5,5,5,5,5,5,5
22,sequence_47663,4,4,4,4,4,4,4,4,4,4
23,sequence_47757,4,4,4,4,4,4,4,4,4,4
24,sequence_47783,3,3,3,3,3,3,3,3,3,3
25,sequence_47796,4,4,4,4,4,4,4,4,4,4
26,sequence_47750,2,2,2,2,2,2,2,2,2,2
27,sequence_47760,6,6,6,6,6,6,6,6,6,6
28,sequence_47773,5,5,5,5,5,5,5,5,5,5
29,sequence_47768,1,1,1,1,1,1,1,1,1,1
30,sequence_47771,1,1,1,1,1,1,1,1,1,1
31,sequence_47681,1,1,1,1,1,1,1,1,1,1
32,sequence_47696,2,2,2,2,2,2,2,2,2,2
33,sequence_47680,1,1,1,1,1,1,1,1,1,1
34,sequence_47673,1,1,1,1,1,1,1,1,1,1
35,sequence_47700,1,1,1,1,1,1,1,1,1,1
36,sequence_47689,4,4,4,4,4,4,4,4,4,4
37,sequence_47683,7,7,7,7,7,7,7,7,7,7
38,sequence_47697,5,5,5,5,5,5,5,5,5,5
39,sequence_47678,5,5,5,5,5,5,5,5,5,5
40,sequence_47682,7,7,7,7,7,7,7,7,7,7
41,sequence_47724,0,0,0,0,0,0,0,0,0,0
42,sequence_47806,7,7,7,7,7,7,7,7,7,7
43,sequence_47807,7,7,7,7,7,7,7,7,7,7
44,sequence_47804,7,7,7,7,7,7,7,7,7,7
45,sequence_47800,7,7,7,7,7,7,7,7,7,7
46,sequence_47799,7,7,7,7,7,7,7,7,7,7
47,sequence_47664,4,4,4,4,4,4,4,4,4,4
48,sequence_47666,4,4,4,4,4,4,4,4,4,4
49,sequence_47671,4,4,4,4,4,4,4,4,4,4
50,sequence_47727,3,3,3,3,3,3,3,3,3,3
51,sequence_47756,3,3,3,3,3,3,3,3,3,3
52,sequence_47775,3,3,3,3,3,3,3,3,3,3
53,sequence_47730,4,4,4,4,4,4,4,4,4,4
54,sequence_47758,4,4,4,4,4,4,4,4,4,4
55,sequence_47797,3,3,3,3,3,3,3,3,3,3
56,sequence_47798,4,4,4,4,4,4,4,4,4,4
57,sequence_47751,2,2,2,2,2,2,2,2,2,2
58,sequence_47741,1,1,1,1,1,1,1,1,1,1
59,sequence_47743,1,1,1,1,1,1,1,1,1,1
60,sequence_47752,1,1,1,1,1,1,1,1,1,1
61,sequence_47745,4,4,4,4,4,4,4,4,4,4
62,sequence_47747,1,1,1,1,1,1,1,1,1,1
63,sequence_47748,4,4,4,4,4,4,4,4,4,4
64,sequence_47749,1,1,1,1,1,1,1,1,1,1
65,sequence_47744,1,1,1,1,1,1,1,1,1,1
66,sequence_47721,5,5,5,5,5,5,5,5,5,5
67,sequence_47759,5,5,5,5,5,5,5,5,5,5
68,sequence_47774,7,7,7,7,7,7,7,7,7,7
69,sequence_47770,7,7,7,7,7,7,7,7,7,7
70,sequence_47713,0,0,0,0,0,0,0,0,0,0
71,sequence_47738,1,1,1,1,1,1,1,1,1,1
72,sequence_47769,7,7,7,7,7,7,7,7,7,7
73,sequence_47702,1,1,1,1,1,1,1,1,1,1
74,sequence_47672,1,1,1,1,1,1,1,1,1,1
75,sequence_47705,1,1,1,1,1,1,1,1,1,1
76,sequence_47694,2,2,2,2,2,2,2,2,2,2
77,sequence_47691,1,1,1,1,1,1,1,1,1,1
78,sequence_47701,1,1,1,1,1,1,1,1,1,1
79,sequence_47706,1,1,1,1,1,1,1,1,1,1
80,sequence_47675,1,1,1,1,1,1,1,1,1,1
81,sequence_47698,1,1,1,1,1,1,1,1,1,1
82,sequence_47688,4,4,4,4,4,4,4,4,4,4
83,sequence_47704,7,7,7,7,7,7,7,7,7,7
84,sequence_47708,7,7,7,7,7,7,7,7,7,7
85,sequence_47709,7,7,7,7,7,7,7,7,7,7
86,sequence_47677,7,7,7,7,7,7,7,7,7,7
87,sequence_47692,7,7,7,7,7,7,7,7,7,7
88,sequence_47703,7,7,7,7,7,7,7,7,7,7
89,sequence_47707,7,7,7,7,7,7,7,7,7,7
90,sequence_47762,7,7,7,7,7,7,7,7,7,7
91,sequence_47765,7,7,7,7,7,7,7,7,7,7
92,sequence_47767,7,7,7,7,7,7,7,7,7,7
93,sequence_47812,7,7,7,7,7,7,7,7,7,7
94,sequence_47761,7,7,7,7,7,7,7,7,7,7
95,sequence_47764,0,0,0,0,0,0,0,0,0,0
96,sequence_47763,0,0,0,0,0,0,0,0,0,0
97,sequence_47699,7,7,7,7,7,7,7,7,7,7
98,sequence_47687,7,7,7,7,7,7,7,7,7,7
99,sequence_47693,7,7,7,7,7,7,7,7,7,7
