,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,1,1,1,1,1,1,1,1,1,1
1,sequence_47684,14,14,14,14,14,14,14,14,14,14
2,sequence_47789,17,17,17,17,17,17,17,17,17,17
3,sequence_47790,17,17,17,17,17,17,17,17,17,17
4,sequence_47781,11,11,11,11,11,11,11,11,11,11
5,sequence_47777,11,11,11,11,11,11,11,11,11,11
6,sequence_47779,1,1,1,1,1,1,1,1,1,1
7,sequence_47784,11,11,11,11,11,11,11,11,11,11
8,sequence_47786,11,11,11,11,11,11,11,11,11,11
9,sequence_47782,11,11,11,11,11,11,11,11,11,11
10,sequence_47772,16,16,16,16,16,16,16,16,16,16
11,sequence_47795,16,16,16,16,16,16,16,16,16,16
12,sequence_47776,1,1,1,1,1,1,1,1,1,1
13,sequence_47685,0,0,0,0,0,0,0,0,0,0
14,sequence_47679,14,14,14,14,14,14,14,14,14,14
15,sequence_47695,25,25,25,25,25,25,25,25,25,25
16,sequence_47710,25,25,25,25,25,25,25,25,25,25
17,sequence_47686,8,8,8,8,8,8,8,8,8,8
18,sequence_47778,17,17,17,17,17,17,17,17,17,17
19,sequence_47780,17,17,17,17,17,17,17,17,17,17
20,sequence_47785,17,17,17,17,17,17,17,17,17,17
21,sequence_47803,2,2,2,2,2,2,2,2,2,2
22,sequence_47663,10,10,10,10,10,10,10,10,10,10
23,sequence_47757,11,11,11,11,11,11,11,11,11,11
24,sequence_47783,23,23,23,23,23,23,23,23,23,23
25,sequence_47796,4,4,4,4,4,4,4,4,4,4
26,sequence_47750,5,5,5,5,5,5,5,5,5,5
27,sequence_47760,16,16,16,16,16,16,16,16,16,16
28,sequence_47773,2,2,2,2,2,2,2,2,2,2
29,sequence_47768,16,16,16,16,16,16,16,16,16,16
30,sequence_47771,16,16,16,16,16,16,16,16,16,16
31,sequence_47681,0,0,0,0,0,0,0,0,0,0
32,sequence_47696,25,25,25,25,25,25,25,25,25,25
33,sequence_47680,14,14,14,14,14,14,14,14,14,14
34,sequence_47673,25,25,25,25,25,25,25,25,25,25
35,sequence_47700,14,14,14,14,14,14,14,14,14,14
36,sequence_47689,10,10,10,10,10,10,10,10,10,10
37,sequence_47683,8,8,8,8,8,8,8,8,8,8
38,sequence_47697,27,27,27,27,27,27,27,27,27,27
39,sequence_47678,27,27,27,27,27,27,27,27,27,27
40,sequence_47682,8,8,8,8,8,8,8,8,8,8
41,sequence_47724,8,8,8,8,8,8,8,8,8,8
42,sequence_47806,7,7,7,7,7,7,7,7,7,7
43,sequence_47807,2,2,2,2,2,2,2,2,2,2
44,sequence_47804,20,20,20,20,20,20,20,20,20,20
45,sequence_47800,20,20,20,20,20,20,20,20,20,20
46,sequence_47799,2,2,2,2,2,2,2,2,2,2
47,sequence_47664,6,6,6,6,6,6,6,6,6,6
48,sequence_47666,10,10,10,10,10,10,10,10,10,10
49,sequence_47671,10,10,10,10,10,10,10,10,10,10
50,sequence_47727,23,23,23,23,23,23,23,23,23,23
51,sequence_47756,23,23,23,23,23,23,23,23,23,23
52,sequence_47775,23,23,23,23,23,23,23,23,23,23
53,sequence_47730,4,4,4,4,4,4,4,4,4,4
54,sequence_47758,4,4,4,4,4,4,4,4,4,4
55,sequence_47797,13,13,13,13,13,13,13,13,13,13
56,sequence_47798,19,19,19,19,19,19,19,19,19,19
