,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,8,8,8,8,8,8,8,8,8,8
1,sequence_47684,7,7,7,7,7,7,7,7,7,7
2,sequence_47789,2,2,2,2,2,2,2,2,2,2
3,sequence_47790,8,8,8,8,8,8,8,8,8,8
4,sequence_47781,11,11,11,11,11,11,11,11,11,11
5,sequence_47777,0,0,0,0,0,0,0,0,0,0
6,sequence_47779,11,11,11,11,11,11,11,11,11,11
7,sequence_47784,24,24,24,24,24,24,24,24,24,24
8,sequence_47786,14,14,14,14,14,14,14,14,14,14
9,sequence_47782,24,24,24,24,24,24,24,24,24,24
10,sequence_47772,22,22,22,22,22,22,22,22,22,22
11,sequence_47795,17,17,17,17,17,17,17,17,17,17
12,sequence_47776,22,22,22,22,22,22,22,22,22,22
13,sequence_47685,7,7,7,7,7,7,7,7,7,7
14,sequence_47679,10,10,10,10,10,10,10,10,10,10
15,sequence_47695,7,7,7,7,7,7,7,7,7,7
16,sequence_47710,7,7,7,7,7,7,7,7,7,7
17,sequence_47686,7,7,7,7,7,7,7,7,7,7
18,sequence_47778,11,11,11,11,11,11,11,11,11,11
19,sequence_47780,11,11,11,11,11,11,11,11,11,11
20,sequence_47785,11,11,11,11,11,11,11,11,11,11
21,sequence_47803,2,2,2,2,2,2,2,2,2,2
22,sequence_47663,1,1,1,1,1,1,1,1,1,1
23,sequence_47757,1,1,1,1,1,1,1,1,1,1
24,sequence_47783,21,21,21,21,21,21,21,21,21,21
25,sequence_47796,24,24,24,24,24,24,24,24,24,24
26,sequence_47750,15,15,15,15,15,15,15,15,15,15
27,sequence_47760,4,4,4,4,4,4,4,4,4,4
28,sequence_47773,2,2,2,2,2,2,2,2,2,2
29,sequence_47768,0,0,0,0,0,0,0,0,0,0
30,sequence_47771,22,22,22,22,22,22,22,22,22,22
31,sequence_47681,10,10,10,10,10,10,10,10,10,10
32,sequence_47696,7,7,7,7,7,7,7,7,7,7
33,sequence_47680,10,10,10,10,10,10,10,10,10,10
34,sequence_47673,26,26,26,26,26,26,26,26,26,26
35,sequence_47700,26,26,26,26,26,26,26,26,26,26
36,sequence_47689,25,25,25,25,25,25,25,25,25,25
37,sequence_47683,19,19,19,19,19,19,19,19,19,19
38,sequence_47697,7,7,7,7,7,7,7,7,7,7
39,sequence_47678,15,15,15,15,15,15,15,15,15,15
40,sequence_47682,19,19,19,19,19,19,19,19,19,19
41,sequence_47724,19,19,19,19,19,19,19,19,19,19
42,sequence_47806,12,12,12,12,12,12,12,12,12,12
43,sequence_47807,12,12,12,12,12,12,12,12,12,12
44,sequence_47804,11,11,11,11,11,11,11,11,11,11
45,sequence_47800,11,11,11,11,11,11,11,11,11,11
46,sequence_47799,11,11,11,11,11,11,11,11,11,11
47,sequence_47664,1,1,1,1,1,1,1,1,1,1
48,sequence_47666,20,20,20,20,20,20,20,20,20,20
49,sequence_47671,20,20,20,20,20,20,20,20,20,20
50,sequence_47727,27,27,27,27,27,27,27,27,27,27
51,sequence_47756,27,27,27,27,27,27,27,27,27,27
52,sequence_47775,21,21,21,21,21,21,21,21,21,21
53,sequence_47730,20,20,20,20,20,20,20,20,20,20
54,sequence_47758,20,20,20,20,20,20,20,20,20,20
55,sequence_47797,21,21,21,21,21,21,21,21,21,21
56,sequence_47798,24,24,24,24,24,24,24,24,24,24
57,sequence_47751,15,15,15,15,15,15,15,15,15,15
58,sequence_47741,6,6,6,6,6,6,6,6,6,6
59,sequence_47743,6,6,6,6,6,6,6,6,6,6
60,sequence_47752,16,16,16,16,16,16,16,16,16,16
61,sequence_47745,6,6,6,6,6,6,6,6,6,6
62,sequence_47747,16,16,16,16,16,16,16,16,16,16
63,sequence_47748,20,20,20,20,20,20,20,20,20,20
64,sequence_47749,6,6,6,6,6,6,6,6,6,6
65,sequence_47744,16,16,16,16,16,16,16,16,16,16
66,sequence_47721,15,15,15,15,15,15,15,15,15,15
67,sequence_47759,15,15,15,15,15,15,15,15,15,15
68,sequence_47774,12,12,12,12,12,12,12,12,12,12
69,sequence_47770,9,9,9,9,9,9,9,9,9,9
70,sequence_47713,6,6,6,6,6,6,6,6,6,6
