,tr|A0A022LF30|A0A022LF30_9MICO,tr|A0A0N6ZWJ6|A0A0N6ZWJ6_9MICO,tr|A0A0Q5RSP0|A0A0Q5RSP0_9MICO,tr|A0A147DMW8|A0A147DMW8_9MICO,tr|A0A175S3M8|A0A175S3M8_9MICO,tr|A0A181Z8D7|A0A181Z8D7_9MICO,tr|A0A1C7C6J2|A0A1C7C6J2_9MICO,tr|A0A1E5MK32|A0A1E5MK32_9MICO,tr|A0A1H0ZAX8|A0A1H0ZAX8_9MICO,tr|A0A1I2IT28|A0A1I2IT28_9MICO,tr|A0A1S2GX69|A0A1S2GX69_9MICO,tr|A0A1S2HEH8|A0A1S2HEH8_9MICO,tr|A0A1S2HW14|A0A1S2HW14_9MICO,tr|A0A1S2HZI7|A0A1S2HZI7_9MICO,tr|A0A1S2INY6|A0A1S2INY6_9MICO,tr|A0A1S2JGQ6|A0A1S2JGQ6_9MICO,tr|A0A285XXB0|A0A285XXB0_9MICO,tr|A0A2A5NN38|A0A2A5NN38_9MICO,tr|A0A2W0CL52|A0A2W0CL52_9MICO,tr|A0A2W0CW36|A0A2W0CW36_9MICO,tr|A0A2W0DWD0|A0A2W0DWD0_9MICO,tr|A0A2W1NTQ3|A0A2W1NTQ3_9MICO,tr|A0A2W1PEG7|A0A2W1PEG7_9MICO,tr|A0A2W1Q854|A0A2W1Q854_9MICO,tr|A0A2W1QGK1|A0A2W1QGK1_9MICO,tr|A0A2W1QHV2|A0A2W1QHV2_9MICO,tr|A0A2W1QTZ3|A0A2W1QTZ3_9MICO,tr|A0A2W1RDX4|A0A2W1RDX4_9MICO,tr|A0A2W1SNZ5|A0A2W1SNZ5_9MICO,tr|A0A2W1TCL9|A0A2W1TCL9_9MICO,tr|A0A2W1TGE6|A0A2W1TGE6_9MICO,tr|A0A2W1TKT6|A0A2W1TKT6_9MICO,tr|A0A2W1TVY0|A0A2W1TVY0_9MICO,tr|A0A2W1U6E8|A0A2W1U6E8_9MICO,tr|A0A2W1UUQ1|A0A2W1UUQ1_9MICO,tr|A0A2W1V6N3|A0A2W1V6N3_9MICO,tr|A0A2W1V7G7|A0A2W1V7G7_9MICO,tr|A0A2W1V955|A0A2W1V955_9MICO,tr|A0A2W1VQ90|A0A2W1VQ90_9MICO,tr|A0A2W1X2J0|A0A2W1X2J0_9MICO,tr|A0A2W1X584|A0A2W1X584_9MICO,tr|A0A2W1ZPB0|A0A2W1ZPB0_9MICO,tr|A0A2W1ZVJ6|A0A2W1ZVJ6_9MICO,tr|A0A3N1JB23|A0A3N1JB23_9MICO,tr|A0A3N1K8L2|A0A3N1K8L2_9MICO,tr|A0A3N1NS66|A0A3N1NS66_9MICO,tr|A0A3N1YBQ1|A0A3N1YBQ1_9MICO,tr|A0A3N2GHJ3|A0A3N2GHJ3_9MICO,tr|A0A3N4VUB0|A0A3N4VUB0_9MICO,tr|A0A4R1KKZ2|A0A4R1KKZ2_9MICO,tr|A0A4R1SC92|A0A4R1SC92_9MICO,tr|A0A4R1SUF8|A0A4R1SUF8_9MICO,tr|A0A4R1T2Y3|A0A4R1T2Y3_9MICO,tr|A0A4R1TQJ8|A0A4R1TQJ8_9MICO,tr|A0A4R3SPP6|A0A4R3SPP6_9MICO,tr|A0A4R6DGV1|A0A4R6DGV1_9MICO,tr|A0A4R8B3V3|A0A4R8B3V3_9MICO,tr|A0A4R8BHV4|A0A4R8BHV4_9MICO,tr|A0A4R8BZW3|A0A4R8BZW3_9MICO,tr|A0A4V1FHC0|A0A4V1FHC0_9MICO,tr|A0A4V2VND8|A0A4V2VND8_9MICO,tr|A0A502C4E4|A0A502C4E4_9MICO,tr|A0A542FGL5|A0A542FGL5_9MICO,tr|A0A554N0M7|A0A554N0M7_9MICO,tr|A0A653QFI1|A0A653QFI1_9MICO,tr|A0A6C6XWX6|A0A6C6XWX6_9MICO,tr|A0A6N0YH76|A0A6N0YH76_9MICO,tr|A0A6N0YQ21|A0A6N0YQ21_9MICO,tr|A0A6N1CNR9|A0A6N1CNR9_9MICO,tr|A0A7T4WKQ4|A0A7T4WKQ4_9MICO,tr|A0A7W3R3Q2|A0A7W3R3Q2_9MICO,tr|A0A850DS22|A0A850DS22_9MICO,tr|A0A8H9GBR3|A0A8H9GBR3_9MICO,UPI000348358B,UPI000489A9AE,UPI0007363F20,UPI0008268AC0,UPI0008DD8730,UPI000D830D1B,UPI000DA72D9B,UPI000DA794FF,UPI000DA84B76,UPI000DA891CA,UPI000DA90884,UPI000DAA153A,UPI000DAA78BE,UPI000F86EBEA,UPI00119E018F,UPI0011A1FDE9,UPI0011A71723,UPI0011A8113C,UPI00128FA198,UPI001357DF1D,UPI001564FECF,UPI0015652DF6,UPI0015F5CB24,UPI0015F6C0DA,UPI0015FED7F7,UPI00188A5A32,UPI00188C00C7,UPI00188C16A2,UPI00188C4DA2,UPI00188D132A,UPI00188DBB43,UPI00188DBDE6,UPI001ADA6DCC,UPI001AE92B39,UPI001BC8FEF7,UPI001BDDCEB7,UPI001BDDD5FF,UPI001BDDE2F5,UPI001BDDF006,UPI001BDE37E2,UPI001BDEF83B,UPI001BDF3CE9,UPI001BE0059E,UPI001BE0348B,UPI001BE0EEB9,UPI001BE4F98F,UPI001C0CCC3C,UPI001C3047E5,UPI001C8E3537,UPI001CCB312C,UPI001CE20163,UPI001E2C661C,UPI001F575CA0,UPI001FB52255,UPI0020264D4C
tr|A0A022LF30|A0A022LF30_9MICO,0.0,0.062069,0.075342,0.057471,0.057604,0.068966,0.061927,0.06422,0.061503,0.065909,0.069284,0.057078,0.043478,0.05977,0.073903,0.011364,0.064073,0.066514,0.075,0.0839,0.014528,0.015909,0.013514,0.07483,0.013761,0.013636,0.087838,0.013636,0.09009,0.011364,0.013636,0.076037,0.075,0.015909,0.075342,0.04119,0.043084,0.013514,0.057471,0.015766,0.059226,0.05977,0.0839,0.057737,0.029817,0.040541,0.042889,0.036281,0.047404,0.057737,0.047404,0.04955,0.047404,0.04955,0.042889,0.055046,0.047404,0.047404,0.04955,0.057471,0.051802,0.002273,0.06422,0.015909,0.004505,0.015909,0.064073,0.066362,0.020455,0.03653,0.070776,0.064073,0.068966,0.066514,0.020455,0.05977,0.057471,0.068182,0.02027,0.018018,0.013636,0.011364,0.0839,0.015766,0.018182,0.081633,0.062069,0.064073,0.059226,0.077803,0.050343,0.064073,0.049661,0.020455,0.040816,0.061927,0.018182,0.015837,0.029279,0.036199,0.097065,0.004505,0.018182,0.038549,0.015766,0.011468,0.05977,0.055556,0.018182,0.027149,0.004545,0.015766,0.031674,0.004525,0.040816,0.006849,0.002262,0.018349,0.078829,0.057604,0.068493,0.079365,0.057471,0.03653,0.061785,0.066667,0.066975,0.057471
tr|A0A0N6ZWJ6|A0A0N6ZWJ6_9MICO,0.062069,0.0,0.068966,0.016092,0.018433,0.057471,0.025287,0.029885,0.034483,0.025287,0.055427,0.032184,0.057471,0.045977,0.073903,0.057471,0.027586,0.018391,0.057471,0.071264,0.03632,0.05977,0.057471,0.068966,0.055172,0.055172,0.064368,0.057471,0.066667,0.057471,0.05977,0.057604,0.057471,0.055172,0.064368,0.055172,0.064368,0.057471,0.016092,0.05977,0.03908,0.016092,0.071264,0.057737,0.055172,0.064368,0.062069,0.05977,0.062069,0.057737,0.062069,0.062069,0.062069,0.062069,0.057471,0.027586,0.062069,0.062069,0.062069,0.018391,0.062069,0.05977,0.022989,0.055172,0.05977,0.05977,0.027586,0.022989,0.057471,0.048276,0.029885,0.027586,0.025287,0.027586,0.055172,0.009195,0.048276,0.027586,0.055172,0.055172,0.057471,0.057471,0.073563,0.055172,0.057471,0.071264,0.018391,0.025287,0.027586,0.066667,0.032184,0.025287,0.062069,0.057471,0.062069,0.027586,0.055172,0.055172,0.057471,0.057471,0.08046,0.057471,0.062069,0.062069,0.05977,0.05977,0.002299,0.020833,0.055172,0.05977,0.057471,0.057471,0.064368,0.057471,0.062069,0.05977,0.05977,0.057471,0.043678,0.062212,0.027586,0.066667,0.011494,0.048276,0.022989,0.027586,0.057737,0.018391
tr|A0A0Q5RSP0|A0A0Q5RSP0_9MICO,0.075342,0.068966,0.0,0.066667,0.064516,0.048276,0.075688,0.077982,0.077626,0.06621,0.032333,0.063927,0.080092,0.071264,0.04388,0.073059,0.06865,0.071101,0.06621,0.070776,0.05569,0.073059,0.073059,0.073059,0.066514,0.070776,0.077626,0.073059,0.079909,0.073059,0.075342,0.06682,0.06621,0.070776,0.004566,0.077803,0.086758,0.073059,0.064368,0.075342,0.068493,0.071264,0.070776,0.027714,0.075688,0.079909,0.084475,0.079909,0.082192,0.027714,0.082192,0.082192,0.082192,0.082192,0.082192,0.055046,0.082192,0.082192,0.082192,0.068966,0.082192,0.075342,0.077982,0.070776,0.075342,0.073059,0.077803,0.080092,0.073059,0.079909,0.077626,0.075515,0.066667,0.075688,0.070776,0.068966,0.068966,0.068493,0.070776,0.070776,0.073059,0.073059,0.073059,0.070776,0.075342,0.070776,0.075862,0.077803,0.075342,0.064073,0.059497,0.077803,0.082192,0.068493,0.082192,0.077982,0.070776,0.075342,0.082192,0.077626,0.054795,0.073059,0.077626,0.082192,0.075342,0.071101,0.068966,0.0625,0.070776,0.079909,0.073059,0.073059,0.084475,0.073059,0.082192,0.075342,0.075342,0.073394,0.079909,0.062212,0.075342,0.075342,0.066667,0.079909,0.075515,0.064368,0.036952,0.073563
tr|A0A147DMW8|A0A147DMW8_9MICO,0.057471,0.016092,0.066667,0.0,0.020737,0.062069,0.034483,0.03908,0.034483,0.029885,0.057737,0.029885,0.055172,0.048276,0.076212,0.052874,0.036782,0.025287,0.055172,0.068966,0.033898,0.055172,0.052874,0.05977,0.050575,0.050575,0.064368,0.052874,0.066667,0.052874,0.055172,0.0553,0.055172,0.050575,0.066667,0.052874,0.064368,0.052874,0.02069,0.055172,0.03908,0.018391,0.068966,0.060046,0.050575,0.05977,0.062069,0.05977,0.05977,0.060046,0.05977,0.062069,0.05977,0.062069,0.057471,0.027586,0.05977,0.05977,0.062069,0.011494,0.062069,0.055172,0.032184,0.050575,0.055172,0.055172,0.034483,0.032184,0.052874,0.048276,0.036782,0.034483,0.022989,0.027586,0.050575,0.006897,0.050575,0.032184,0.050575,0.050575,0.052874,0.052874,0.071264,0.050575,0.052874,0.068966,0.016092,0.034483,0.032184,0.068966,0.029885,0.034483,0.05977,0.052874,0.062069,0.036782,0.050575,0.050575,0.057471,0.055172,0.082759,0.052874,0.057471,0.062069,0.055172,0.055172,0.016092,0.027778,0.050575,0.057471,0.052874,0.052874,0.062069,0.052874,0.062069,0.055172,0.055172,0.055172,0.050575,0.059908,0.034483,0.057471,0.004598,0.048276,0.032184,0.025287,0.060046,0.018391
tr|A0A175S3M8|A0A175S3M8_9MICO,0.057604,0.018433,0.064516,0.020737,0.0,0.059908,0.032258,0.034562,0.043779,0.032258,0.057737,0.036866,0.050691,0.048387,0.073903,0.052995,0.032258,0.018433,0.048387,0.062212,0.03632,0.0553,0.052995,0.059908,0.050691,0.050691,0.062212,0.052995,0.064516,0.052995,0.0553,0.048387,0.048387,0.050691,0.064516,0.052995,0.064516,0.052995,0.016129,0.0553,0.046083,0.023041,0.062212,0.057737,0.048387,0.059908,0.057604,0.057604,0.059908,0.057737,0.059908,0.059908,0.059908,0.059908,0.059908,0.034562,0.059908,0.059908,0.059908,0.020737,0.059908,0.0553,0.029954,0.050691,0.0553,0.0553,0.032258,0.029954,0.052995,0.046083,0.034562,0.032258,0.020737,0.032258,0.050691,0.018433,0.050691,0.034562,0.050691,0.050691,0.052995,0.052995,0.064516,0.050691,0.0553,0.062212,0.025346,0.032258,0.02765,0.071429,0.032258,0.032258,0.059908,0.052995,0.059908,0.032258,0.050691,0.0553,0.057604,0.052995,0.080645,0.052995,0.057604,0.059908,0.0553,0.0553,0.018433,0.020833,0.050691,0.052995,0.052995,0.052995,0.052995,0.052995,0.059908,0.0553,0.0553,0.052995,0.046083,0.059908,0.032258,0.062212,0.016129,0.046083,0.029954,0.023041,0.053118,0.025346
tr|A0A181Z8D7|A0A181Z8D7_9MICO,0.068966,0.057471,0.048276,0.062069,0.059908,0.0,0.066667,0.073563,0.066667,0.05977,0.039261,0.055172,0.064368,0.062069,0.04157,0.066667,0.055172,0.05977,0.064368,0.071264,0.05569,0.066667,0.066667,0.073563,0.064368,0.064368,0.08046,0.066667,0.082759,0.066667,0.068966,0.06682,0.064368,0.064368,0.043678,0.062069,0.075862,0.066667,0.062069,0.068966,0.068966,0.064368,0.071264,0.030023,0.071264,0.073563,0.068966,0.071264,0.073563,0.030023,0.073563,0.073563,0.073563,0.073563,0.071264,0.052874,0.073563,0.073563,0.073563,0.066667,0.073563,0.068966,0.064368,0.064368,0.068966,0.066667,0.066667,0.064368,0.066667,0.064368,0.05977,0.066667,0.062069,0.071264,0.066667,0.062069,0.064368,0.062069,0.064368,0.064368,0.066667,0.066667,0.073563,0.064368,0.068966,0.071264,0.066667,0.066667,0.066667,0.036782,0.052874,0.066667,0.073563,0.062069,0.073563,0.071264,0.064368,0.068966,0.071264,0.068966,0.045977,0.066667,0.071264,0.073563,0.068966,0.068966,0.055172,0.055556,0.064368,0.071264,0.066667,0.066667,0.075862,0.066667,0.073563,0.068966,0.068966,0.073563,0.071264,0.059908,0.057471,0.075862,0.062069,0.064368,0.064368,0.064368,0.050808,0.066667
tr|A0A1C7C6J2|A0A1C7C6J2_9MICO,0.061927,0.025287,0.075688,0.034483,0.032258,0.066667,0.0,0.025229,0.036697,0.03211,0.060046,0.041284,0.06422,0.050575,0.073903,0.059633,0.034404,0.036697,0.055046,0.071101,0.043584,0.059633,0.059633,0.068807,0.059633,0.057339,0.061927,0.059633,0.06422,0.059633,0.061927,0.057604,0.055046,0.059633,0.071101,0.06422,0.071101,0.059633,0.027586,0.061927,0.043578,0.027586,0.071101,0.066975,0.061927,0.068807,0.073394,0.066514,0.068807,0.066975,0.068807,0.068807,0.068807,0.068807,0.066514,0.034404,0.068807,0.068807,0.068807,0.034483,0.068807,0.061927,0.006881,0.059633,0.06422,0.061927,0.006881,0.006881,0.061927,0.048165,0.036697,0.006881,0.036782,0.036697,0.059633,0.032184,0.052874,0.034404,0.059633,0.057339,0.061927,0.059633,0.073394,0.057339,0.059633,0.071101,0.036782,0.002294,0.034404,0.077982,0.038991,0.0,0.068807,0.061927,0.068807,0.022936,0.06422,0.057339,0.066514,0.06422,0.087156,0.059633,0.06422,0.068807,0.061927,0.057339,0.025287,0.020833,0.059633,0.06422,0.059633,0.059633,0.066514,0.059633,0.068807,0.061927,0.061927,0.06422,0.052752,0.0553,0.034404,0.066514,0.029885,0.050459,0.002294,0.034483,0.062356,0.034483
tr|A0A1E5MK32|A0A1E5MK32_9MICO,0.06422,0.029885,0.077982,0.03908,0.034562,0.073563,0.025229,0.0,0.045872,0.041284,0.066975,0.045872,0.06422,0.055172,0.076212,0.061927,0.043578,0.038991,0.06422,0.075688,0.03632,0.06422,0.061927,0.075688,0.059633,0.059633,0.066514,0.061927,0.068807,0.061927,0.061927,0.059908,0.06422,0.059633,0.073394,0.061927,0.073394,0.061927,0.027586,0.06422,0.048165,0.032184,0.075688,0.071594,0.057339,0.068807,0.068807,0.066514,0.068807,0.071594,0.068807,0.068807,0.068807,0.068807,0.068807,0.043578,0.068807,0.068807,0.068807,0.034483,0.068807,0.061927,0.027523,0.059633,0.061927,0.06422,0.027523,0.027523,0.061927,0.048165,0.043578,0.027523,0.045977,0.045872,0.059633,0.036782,0.057471,0.043578,0.059633,0.059633,0.061927,0.061927,0.077982,0.059633,0.061927,0.075688,0.041379,0.025229,0.043578,0.084862,0.048165,0.025229,0.068807,0.061927,0.068807,0.002294,0.061927,0.059633,0.06422,0.061927,0.091743,0.059633,0.066514,0.068807,0.06422,0.06422,0.029885,0.034722,0.059633,0.057339,0.059633,0.061927,0.061927,0.059633,0.068807,0.061927,0.061927,0.057339,0.048165,0.057604,0.041284,0.073394,0.034483,0.048165,0.022936,0.043678,0.062356,0.03908
tr|A0A1H0ZAX8|A0A1H0ZAX8_9MICO,0.061503,0.034483,0.077626,0.034483,0.043779,0.066667,0.036697,0.045872,0.0,0.036446,0.053118,0.03653,0.06865,0.052874,0.080831,0.059226,0.032037,0.043578,0.050114,0.066059,0.038741,0.061503,0.059226,0.061503,0.057339,0.056948,0.066059,0.061503,0.068337,0.059226,0.061503,0.052995,0.050114,0.059226,0.073059,0.066362,0.072893,0.059226,0.034483,0.061503,0.036446,0.036782,0.066059,0.062356,0.061927,0.063781,0.072893,0.068337,0.068337,0.062356,0.068337,0.070615,0.068337,0.070615,0.066059,0.03211,0.068337,0.068337,0.070615,0.03908,0.070615,0.059226,0.038991,0.059226,0.059226,0.063781,0.04119,0.04119,0.061503,0.052511,0.038813,0.038902,0.043678,0.036697,0.059226,0.036782,0.055172,0.038724,0.059226,0.056948,0.061503,0.059226,0.068337,0.056948,0.059226,0.066059,0.03908,0.038902,0.041002,0.077803,0.036613,0.038902,0.068337,0.061503,0.070615,0.043578,0.059226,0.059226,0.063781,0.072893,0.095672,0.056948,0.066059,0.070615,0.061503,0.059633,0.034483,0.034722,0.059226,0.068337,0.056948,0.059226,0.072893,0.056948,0.070615,0.057078,0.059226,0.059633,0.047836,0.046083,0.03653,0.061503,0.034483,0.052511,0.036613,0.041379,0.062356,0.036782
tr|A0A1I2IT28|A0A1I2IT28_9MICO,0.065909,0.025287,0.06621,0.029885,0.032258,0.05977,0.03211,0.041284,0.036446,0.0,0.048499,0.022831,0.05492,0.050575,0.073903,0.063636,0.020595,0.03211,0.063636,0.077273,0.041162,0.063636,0.063636,0.072727,0.055046,0.061364,0.070455,0.063636,0.072727,0.063636,0.065909,0.057604,0.063636,0.061364,0.06621,0.052632,0.070455,0.063636,0.034483,0.065909,0.027335,0.032184,0.077273,0.053118,0.055046,0.068182,0.068182,0.065909,0.063636,0.053118,0.063636,0.068182,0.063636,0.068182,0.063636,0.011468,0.063636,0.063636,0.068182,0.029885,0.068182,0.063636,0.029817,0.061364,0.063636,0.065909,0.036613,0.032037,0.063636,0.045662,0.034247,0.036613,0.034483,0.020642,0.061364,0.027586,0.052874,0.002273,0.061364,0.061364,0.063636,0.063636,0.079545,0.061364,0.063636,0.077273,0.036782,0.034325,0.034169,0.06865,0.022883,0.034325,0.063636,0.065909,0.068182,0.038991,0.065909,0.061364,0.065909,0.063636,0.088636,0.061364,0.068182,0.068182,0.065909,0.057339,0.025287,0.027778,0.061364,0.072727,0.061364,0.063636,0.077273,0.061364,0.068182,0.061644,0.063636,0.059633,0.061364,0.057604,0.031963,0.072727,0.025287,0.045662,0.032037,0.036782,0.048499,0.034483
