,tr|A0A013SC14|A0A013SC14_9GAMM,tr|A0A014C0I1|A0A014C0I1_9GAMM,tr|A0A014CTT5|A0A014CTT5_9GAMM,tr|A0A014CYJ5|A0A014CYJ5_9GAMM,tr|A0A014DBK2|A0A014DBK2_9GAMM,tr|A0A014DF73|A0A014DF73_9GAMM,tr|A0A014DTW4|A0A014DTW4_9GAMM,tr|A0A014ERD2|A0A014ERD2_9GAMM,tr|A0A014EY43|A0A014EY43_9GAMM,tr|A0A062MUQ9|A0A062MUQ9_9GAMM,tr|A0A062SKN2|A0A062SKN2_ACIBA,tr|A0A0B9XD40|A0A0B9XD40_ACIBA,tr|A0A0D7RKI7|A0A0D7RKI7_ACIBA,tr|A0A0E2G842|A0A0E2G842_ACINO,tr|A0A0J1AAD8|A0A0J1AAD8_ACIBA,tr|A0A1A0GJR9|A0A1A0GJR9_ACICA,tr|A0A1E2YIW5|A0A1E2YIW5_ACIPI,tr|A0A222A490|A0A222A490_ACIBA,tr|A0A2I8CNP8|A0A2I8CNP8_ACIBA,tr|A0A380UP52|A0A380UP52_ACIBA,tr|A0A3R9CTV7|A0A3R9CTV7_9GAMM,tr|A0A429KBM0|A0A429KBM0_ACIPI,tr|A0A4S2I392|A0A4S2I392_ACIBA,tr|A0A5Q0RTC1|A0A5Q0RTC1_ACINO,tr|A0A654KWT3|A0A654KWT3_ACIBM,tr|A0A6H3EIC4|A0A6H3EIC4_ACIBA,tr|A0A6H3SZL5|A0A6H3SZL5_ACIBA,tr|A0A6I4HNW0|A0A6I4HNW0_ACIBA,tr|A0A7L5SDU3|A0A7L5SDU3_ACIBA,tr|A0A7U3Y540|A0A7U3Y540_ACIB5,tr|A0A7U4BL76|A0A7U4BL76_ACIBA,tr|A0A7U4DDP9|A0A7U4DDP9_ACIBC,tr|A0A809JEU6|A0A809JEU6_ACIBA,tr|A0A836YKJ7|A0A836YKJ7_ACIBA,tr|A0A858S8D6|A0A858S8D6_ACIBA,tr|A0A8I1H555|A0A8I1H555_ACIPI,tr|R8YIW4|R8YIW4_ACIPI,tr|R8YZV0|R8YZV0_9GAMM,UPI0001B8E889,UPI00021B74FF,UPI0002833C81,UPI0002CDB8F9,UPI0002CEB95E,UPI0002D06098,UPI0003DF332C,UPI00041B1D67,UPI000448D735,UPI00044B3C22,UPI0004528C5E,UPI000465DD76,UPI0004A1512E,UPI00053BE3ED,UPI00057F5BD2,UPI000598E9A5,UPI0005EBC436,UPI000676019C,UPI0006A10499,UPI00070D9D1A,UPI0007C2C2E7,UPI0008107558,UPI000826DFED,UPI0009418B6D,UPI000947C4E1,UPI00095358E5,UPI000993BFAD,UPI0009B684A9,UPI0009D431EA,UPI0009D5EFF7,UPI000A333B80,UPI000A3C595B,UPI000A56000F,UPI000ABBCD72,UPI000B191CBD,UPI000B379ED3,UPI000B3FB7CD,UPI000B3FF0EF,UPI000B707648,UPI000B7BDBD5,UPI000B941B4D,UPI000BA793E0,UPI000BF6C523,UPI000BF99BCB,UPI000C04E9E8,UPI000D0126B3,UPI000D0164A9,UPI000D019E67,UPI000D01D32D,UPI000D0210B6,UPI000D021B2B,UPI000D644E28,UPI000DE6C838,UPI000DE7578B,UPI000DE7676B,UPI000DF499FC,UPI000E09C972,UPI000E09D640,UPI000F73DB0A,UPI000FBD780B,UPI0010A41630,UPI0010FD69BC,UPI0011206592,UPI00112344B9,UPI0011270E02,UPI00116BC0EF,UPI00116C204E,UPI0011922E70,UPI0012315F46,UPI001250885B,UPI00128002D8,UPI001283D1DC,UPI001284C7E1,UPI0013BD02D0,UPI00140FE8A4,UPI00143B8028,UPI00143CE0FE,UPI001487FA23,UPI00159C67B3,UPI00178CD137,UPI001897A862,UPI001898ED10,UPI0018994DFF,UPI0018999BB6,UPI00189BB2CB,UPI0018A9C75D,UPI00190048A7,UPI00190F5A66,UPI00191285C9,UPI00192ADBAF,UPI00197D70CD,UPI001A9BF9B4,UPI001B98E43D,UPI001BDBC038,UPI001C0434EA,UPI001C04481A,UPI001C0D5BEF,UPI001C1ED1F8,UPI001C62DD7D,UPI001CDB6A6E,UPI001CDD7851,UPI001D098812,UPI001D1746F9,UPI001D18106E,UPI001D186782,UPI001D188B34,UPI001D18B4D7,UPI001D18BD7B,UPI001D18F217,UPI001D190248,UPI001D191494,UPI001D194C4C,UPI001D196AC2,UPI001EE84E53,UPI001F07071F,UPI001F4EC3DD,UPI001F552102,UPI001FB207CD,UPI001FB29965,UPI001FB2C529,UPI001FB33651,UPI001FB45941,UPI001FB56787,UPI001FF6A730,UPI002017ABB1,UPI002024E08D
tr|A0A013SC14|A0A013SC14_9GAMM,0.0,0.029297,0.029297,0.029297,0.029297,0.029297,0.029297,0.029297,0.029297,0.029297,0.029297,0.029297,0.033203,0.029297,0.017578,0.029297,0.029297,0.029297,0.041016,0.035156,0.029297,0.027344,0.013672,0.035156,0.033203,0.039062,0.017578,0.03125,0.03125,0.03125,0.033203,0.023438,0.025391,0.029297,0.029297,0.033203,0.015625,0.033203,0.03125,0.03125,0.023438,0.035156,0.021484,0.021484,0.037109,0.035156,0.041016,0.037109,0.060547,0.02381,0.020528,0.03125,0.03966,0.03125,0.03125,0.040404,0.005618,0.039548,0.032258,0.011719,0.019569,0.035156,0.03125,0.039062,0.035363,0.015625,0.016304,0.005435,0.027344,0.011719,0.041215,0.021277,0.039773,0.041016,0.035156,0.033203,0.025424,0.029297,0.019531,0.023438,0.023438,0.007812,0.03125,0.035156,0.037109,0.035156,0.035156,0.035156,0.035156,0.019531,0.042969,0.041016,0.03125,0.037109,0.019531,0.035156,0.034068,0.016949,0.037109,0.03125,0.016827,0.026253,0.033203,0.010526,0.015789,0.042553,0.064453,0.0625,0.0625,0.01992,0.027778,0.011719,0.027505,0.037109,0.035156,0.005525,0.023605,0.066406,0.038265,0.021368,0.022409,0.006173,0.037328,0.060547,0.021484,0.018692,0.03125,0.035156,0.023438,0.023438,0.017578,0.034694,0.026316,0.030435,0.039062,0.035156,0.015748,0.03125,0.033465,0.015625,0.049628,0.028986,0.057906,0.028902,0.035821,0.026946,0.022936,0.035503,0.026549,0.035294,0.035608,0.037109,0.03125,0.03125,0.0,0.031142,0.032653,0.037296,0.035794,0.017301,0.019455,0.03125,0.019531,0.035156
tr|A0A014C0I1|A0A014C0I1_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014CTT5|A0A014CTT5_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014CYJ5|A0A014CYJ5_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014DBK2|A0A014DBK2_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014DF73|A0A014DF73_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014DTW4|A0A014DTW4_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014ERD2|A0A014ERD2_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A014EY43|A0A014EY43_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
tr|A0A062MUQ9|A0A062MUQ9_9GAMM,0.029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.011719,0.035156,0.0,0.001953,0.015625,0.005859,0.0,0.027344,0.023438,0.009766,0.007812,0.013672,0.011719,0.001953,0.001953,0.001953,0.007812,0.017578,0.011719,0.0,0.001953,0.007812,0.013672,0.046875,0.001953,0.001953,0.017578,0.009766,0.015625,0.023438,0.011719,0.009766,0.054688,0.048828,0.035156,0.019048,0.0,0.001953,0.0,0.005859,0.001953,0.010101,0.0,0.0,0.008065,0.021484,0.029354,0.041016,0.001953,0.013672,0.005894,0.025391,0.021739,0.0,0.001953,0.025391,0.008677,0.0,0.0,0.052734,0.009766,0.003906,0.016949,0.023438,0.019531,0.017578,0.009766,0.021484,0.001953,0.009766,0.011719,0.009766,0.009766,0.009766,0.009766,0.011719,0.017578,0.048828,0.001953,0.011719,0.009766,0.009766,0.008016,0.0,0.007812,0.001953,0.019231,0.009547,0.003906,0.005263,0.021053,0.0,0.072266,0.070312,0.0,0.0,0.015873,0.025391,0.019646,0.011719,0.009766,0.0,0.008584,0.074219,0.002551,0.0,0.002801,0.0,0.007859,0.042969,0.013672,0.0,0.001953,0.009766,0.035156,0.015625,0.015625,0.008163,0.0,0.0,0.046875,0.009766,0.0,0.001953,0.007874,0.029297,0.062035,0.0,0.028953,0.0,0.0,0.0,0.018349,0.0,0.0,0.0,0.0,0.042969,0.001953,0.001953,0.0,0.013841,0.012245,0.006993,0.006711,0.027682,0.031128,0.001953,0.021484,0.009766
