,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_51016,1,1,1,1,1,1,1,1,1,1
1,sequence_51170,0,0,0,0,0,0,0,0,0,0
2,sequence_32130,2,2,2,2,2,2,2,2,2,2
3,sequence_51136,0,0,0,0,0,0,0,0,0,0
4,sequence_51191,0,0,0,0,0,0,0,0,0,0
5,sequence_51140,0,0,0,0,0,0,0,0,0,0
6,sequence_51149,0,0,0,0,0,0,0,0,0,0
7,sequence_51181,0,0,0,0,0,0,0,0,0,0
8,sequence_51159,0,0,0,0,0,0,0,0,0,0
9,sequence_51175,0,0,0,0,0,0,0,0,0,0
10,sequence_51174,0,0,0,0,0,0,0,0,0,0
11,sequence_51169,0,0,0,0,0,0,0,0,0,0
12,sequence_51199,0,0,0,0,0,0,0,0,0,0
13,sequence_51144,0,0,0,0,0,0,0,0,0,0
14,sequence_51183,0,0,0,0,0,0,0,0,0,0
15,sequence_51157,0,0,0,0,0,0,0,0,0,0
16,sequence_51163,0,0,0,0,0,0,0,0,0,0
17,sequence_51173,0,0,0,0,0,0,0,0,0,0
18,sequence_51168,0,0,0,0,0,0,0,0,0,0
19,sequence_51171,0,0,0,0,0,0,0,0,0,0
20,sequence_51182,0,0,0,0,0,0,0,0,0,0
21,sequence_51131,0,0,0,0,0,0,0,0,0,0
22,sequence_51138,0,0,0,0,0,0,0,0,0,0
23,sequence_51196,0,0,0,0,0,0,0,0,0,0
24,sequence_51202,0,0,0,0,0,0,0,0,0,0
25,sequence_51192,0,0,0,0,0,0,0,0,0,0
26,sequence_51147,0,0,0,0,0,0,0,0,0,0
27,sequence_51151,0,0,0,0,0,0,0,0,0,0
28,sequence_51145,0,0,0,0,0,0,0,0,0,0
29,sequence_51187,0,0,0,0,0,0,0,0,0,0
30,sequence_51148,0,0,0,0,0,0,0,0,0,0
31,sequence_51141,0,0,0,0,0,0,0,0,0,0
32,sequence_51137,0,0,0,0,0,0,0,0,0,0
33,sequence_32151,2,2,2,2,2,2,2,2,2,2
34,sequence_32148,2,2,2,2,2,2,2,2,2,2
35,sequence_32117,2,2,2,2,2,2,2,2,2,2
36,sequence_32141,2,2,2,2,2,2,2,2,2,2
37,sequence_32124,2,2,2,2,2,2,2,2,2,2
38,sequence_32126,2,2,2,2,2,2,2,2,2,2
39,sequence_32127,2,2,2,2,2,2,2,2,2,2
40,sequence_32133,2,2,2,2,2,2,2,2,2,2
41,sequence_32131,2,2,2,2,2,2,2,2,2,2
42,sequence_32174,2,2,2,2,2,2,2,2,2,2
43,sequence_32114,2,2,2,2,2,2,2,2,2,2
44,sequence_32147,2,2,2,2,2,2,2,2,2,2
45,sequence_32119,2,2,2,2,2,2,2,2,2,2
46,sequence_32122,2,2,2,2,2,2,2,2,2,2
47,sequence_32125,2,2,2,2,2,2,2,2,2,2
48,sequence_32128,2,2,2,2,2,2,2,2,2,2
49,sequence_32129,2,2,2,2,2,2,2,2,2,2
50,sequence_32132,2,2,2,2,2,2,2,2,2,2
51,sequence_32167,2,2,2,2,2,2,2,2,2,2
52,sequence_50970,1,1,1,1,1,1,1,1,1,1
53,sequence_51045,1,1,1,1,1,1,1,1,1,1
54,sequence_51003,1,1,1,1,1,1,1,1,1,1
55,sequence_51032,1,1,1,1,1,1,1,1,1,1
56,sequence_51028,1,1,1,1,1,1,1,1,1,1
57,sequence_51025,1,1,1,1,1,1,1,1,1,1
58,sequence_51019,1,1,1,1,1,1,1,1,1,1
59,sequence_51017,1,1,1,1,1,1,1,1,1,1
60,sequence_51014,1,1,1,1,1,1,1,1,1,1
61,sequence_50984,1,1,1,1,1,1,1,1,1,1
62,sequence_51054,1,1,1,1,1,1,1,1,1,1
63,sequence_51002,1,1,1,1,1,1,1,1,1,1
64,sequence_51033,1,1,1,1,1,1,1,1,1,1
65,sequence_51027,1,1,1,1,1,1,1,1,1,1
66,sequence_51023,1,1,1,1,1,1,1,1,1,1
67,sequence_51012,1,1,1,1,1,1,1,1,1,1
68,sequence_51018,1,1,1,1,1,1,1,1,1,1
69,sequence_51015,1,1,1,1,1,1,1,1,1,1
70,sequence_50973,1,1,1,1,1,1,1,1,1,1
71,sequence_32112,2,2,2,2,2,2,2,2,2,2
72,sequence_50978,1,1,1,1,1,1,1,1,1,1
73,sequence_32162,2,2,2,2,2,2,2,2,2,2
74,sequence_50995,1,1,1,1,1,1,1,1,1,1
75,sequence_50972,1,1,1,1,1,1,1,1,1,1
76,sequence_32115,2,2,2,2,2,2,2,2,2,2
77,sequence_50979,1,1,1,1,1,1,1,1,1,1
78,sequence_32152,2,2,2,2,2,2,2,2,2,2
79,sequence_32113,2,2,2,2,2,2,2,2,2,2
80,sequence_32182,2,2,2,2,2,2,2,2,2,2
81,sequence_50987,1,1,1,1,1,1,1,1,1,1
82,sequence_51052,1,1,1,1,1,1,1,1,1,1
83,sequence_50988,1,1,1,1,1,1,1,1,1,1
84,sequence_32158,2,2,2,2,2,2,2,2,2,2
85,sequence_32180,2,2,2,2,2,2,2,2,2,2
86,sequence_51046,1,1,1,1,1,1,1,1,1,1
87,sequence_32181,2,2,2,2,2,2,2,2,2,2
88,sequence_32163,2,2,2,2,2,2,2,2,2,2
89,sequence_50980,1,1,1,1,1,1,1,1,1,1
90,sequence_50969,1,1,1,1,1,1,1,1,1,1
91,sequence_50996,1,1,1,1,1,1,1,1,1,1
92,sequence_50989,1,1,1,1,1,1,1,1,1,1
93,sequence_32150,2,2,2,2,2,2,2,2,2,2
94,sequence_51053,1,1,1,1,1,1,1,1,1,1
95,sequence_50966,1,1,1,1,1,1,1,1,1,1
96,sequence_32116,2,2,2,2,2,2,2,2,2,2
97,sequence_32159,2,2,2,2,2,2,2,2,2,2
98,sequence_32149,2,2,2,2,2,2,2,2,2,2
99,sequence_51133,0,0,0,0,0,0,0,0,0,0
100,sequence_51189,0,0,0,0,0,0,0,0,0,0
101,sequence_51167,0,0,0,0,0,0,0,0,0,0
102,sequence_51130,0,0,0,0,0,0,0,0,0,0
103,sequence_51186,0,0,0,0,0,0,0,0,0,0
104,sequence_51178,0,0,0,0,0,0,0,0,0,0
105,sequence_51158,0,0,0,0,0,0,0,0,0,0
106,sequence_51165,0,0,0,0,0,0,0,0,0,0
107,sequence_51176,0,0,0,0,0,0,0,0,0,0
108,sequence_51155,0,0,0,0,0,0,0,0,0,0
109,sequence_51162,0,0,0,0,0,0,0,0,0,0
110,sequence_51172,0,0,0,0,0,0,0,0,0,0
111,sequence_51195,0,0,0,0,0,0,0,0,0,0
112,sequence_51152,0,0,0,0,0,0,0,0,0,0
113,sequence_51177,0,0,0,0,0,0,0,0,0,0
114,sequence_51161,0,0,0,0,0,0,0,0,0,0
115,sequence_51166,0,0,0,0,0,0,0,0,0,0
116,sequence_51156,0,0,0,0,0,0,0,0,0,0
117,sequence_51180,0,0,0,0,0,0,0,0,0,0
118,sequence_51164,0,0,0,0,0,0,0,0,0,0
119,sequence_51194,0,0,0,0,0,0,0,0,0,0
120,sequence_51154,0,0,0,0,0,0,0,0,0,0
121,sequence_51188,0,0,0,0,0,0,0,0,0,0
122,sequence_51179,0,0,0,0,0,0,0,0,0,0
123,sequence_51127,0,0,0,0,0,0,0,0,0,0
124,sequence_51198,0,0,0,0,0,0,0,0,0,0
125,sequence_51160,0,0,0,0,0,0,0,0,0,0
126,sequence_51184,0,0,0,0,0,0,0,0,0,0
127,sequence_51129,0,0,0,0,0,0,0,0,0,0
128,sequence_51185,0,0,0,0,0,0,0,0,0,0
129,sequence_51128,0,0,0,0,0,0,0,0,0,0
130,sequence_51134,0,0,0,0,0,0,0,0,0,0
131,sequence_51135,0,0,0,0,0,0,0,0,0,0
132,sequence_51190,0,0,0,0,0,0,0,0,0,0
133,sequence_32134,2,2,2,2,2,2,2,2,2,2
134,sequence_32160,2,2,2,2,2,2,2,2,2,2
135,sequence_32110,2,2,2,2,2,2,2,2,2,2
136,sequence_32120,2,2,2,2,2,2,2,2,2,2
137,sequence_32142,2,2,2,2,2,2,2,2,2,2
138,sequence_32137,2,2,2,2,2,2,2,2,2,2
139,sequence_32123,2,2,2,2,2,2,2,2,2,2
140,sequence_32143,2,2,2,2,2,2,2,2,2,2
141,sequence_32139,2,2,2,2,2,2,2,2,2,2
142,sequence_32135,2,2,2,2,2,2,2,2,2,2
143,sequence_32176,2,2,2,2,2,2,2,2,2,2
144,sequence_32109,2,2,2,2,2,2,2,2,2,2
145,sequence_32121,2,2,2,2,2,2,2,2,2,2
146,sequence_32140,2,2,2,2,2,2,2,2,2,2
147,sequence_32136,2,2,2,2,2,2,2,2,2,2
148,sequence_50974,1,1,1,1,1,1,1,1,1,1
149,sequence_32118,2,2,2,2,2,2,2,2,2,2
150,sequence_32146,2,2,2,2,2,2,2,2,2,2
151,sequence_32138,2,2,2,2,2,2,2,2,2,2
152,sequence_50962,1,1,1,1,1,1,1,1,1,1
153,sequence_51050,1,1,1,1,1,1,1,1,1,1
154,sequence_51029,1,1,1,1,1,1,1,1,1,1
155,sequence_51008,1,1,1,1,1,1,1,1,1,1
156,sequence_51011,1,1,1,1,1,1,1,1,1,1
157,sequence_32164,2,2,2,2,2,2,2,2,2,2
158,sequence_51035,1,1,1,1,1,1,1,1,1,1
159,sequence_51005,1,1,1,1,1,1,1,1,1,1
160,sequence_51010,1,1,1,1,1,1,1,1,1,1
161,sequence_51013,1,1,1,1,1,1,1,1,1,1
162,sequence_50991,1,1,1,1,1,1,1,1,1,1
163,sequence_51043,1,1,1,1,1,1,1,1,1,1
164,sequence_51009,1,1,1,1,1,1,1,1,1,1
165,sequence_51031,1,1,1,1,1,1,1,1,1,1
