,strategy,siluetas,calinski,davies
0,k-means-2,0.452778980217616,162.87520762148407,0.912495264613904
1,k-means-3,0.19516753199808454,110.19303771942288,1.8692505606172893
2,k-means-4,0.20061368758081363,88.69780978478411,1.8096452827156742
3,k-means-5,0.19138069152659745,74.81542390672298,1.7730263259841348
4,k-means-6,0.15481207545991724,65.30985409884214,1.9253736369915304
5,k-means-7,0.16798041095570176,59.266845391364754,1.9311598627443765
6,k-means-8,0.16490780992911794,55.612699304038046,1.8708296714973058
7,k-means-9,0.17950352942780748,52.662591756888254,1.868491688559364
8,k-means-10,0.17570140449070118,49.22456412574724,1.7859446610327143
9,k-means-11,0.15403651722846823,45.17938561198168,1.7896110913542898
10,k-means-12,0.15306743559080116,42.24810951557732,1.8955265834864417
11,k-means-13,0.16204337125328694,40.967078850286455,1.8257024079135353
12,k-means-14,0.14443459291365865,39.23398760297739,1.8325384382507222
13,k-means-15,0.14605715548155843,36.69904510378791,1.929639338905159
14,k-means-16,0.15986961330260735,35.60715432234107,1.756635327433016
15,k-means-17,0.16331132747037858,34.740559108450135,1.7172989004966381
16,k-means-18,0.15898777402844008,33.88741789208758,1.8403618546140335
17,k-means-19,0.15037002080432832,32.8396824696544,1.7245287570920274
18,k-means-20,0.15168126006157803,31.357000624474225,1.8484230499502412
19,k-means-21,0.15632294785121773,30.88446543403753,1.740333474536334
20,k-means-22,0.1499756407027422,29.93388917109527,1.7960155791555286
21,k-means-23,0.15814204093392337,30.00638743448065,1.648703210814102
22,k-means-24,0.15385851393242017,28.624971691709035,1.688466645326314
23,k-means-25,0.15989897246013715,28.309386725389984,1.569867278890615
24,k-means-26,0.1599877246511232,27.59954941274361,1.6613075100646344
25,k-means-27,0.1601316154551814,27.3642690203528,1.6600676079003407
26,k-means-28,0.16957565076850226,27.112189267903474,1.563230223508897
27,k-means-29,0.1595918606631891,26.165855313603466,1.5787695613849233
