,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,14,14,14,14,14,14,14,14,14,14
1,sequence_47684,5,5,5,5,5,5,5,5,5,5
2,sequence_47789,25,25,25,25,25,25,25,25,25,25
3,sequence_47790,25,25,25,25,25,25,25,25,25,25
4,sequence_47781,1,1,1,1,1,1,1,1,1,1
5,sequence_47777,1,1,1,1,1,1,1,1,1,1
6,sequence_47779,1,1,1,1,1,1,1,1,1,1
7,sequence_47784,9,9,9,9,9,9,9,9,9,9
8,sequence_47786,21,21,21,21,21,21,21,21,21,21
9,sequence_47782,9,9,9,9,9,9,9,9,9,9
10,sequence_47772,14,14,14,14,14,14,14,14,14,14
11,sequence_47795,17,17,17,17,17,17,17,17,17,17
12,sequence_47776,14,14,14,14,14,14,14,14,14,14
13,sequence_47685,0,0,0,0,0,0,0,0,0,0
14,sequence_47679,5,5,5,5,5,5,5,5,5,5
15,sequence_47695,16,16,16,16,16,16,16,16,16,16
16,sequence_47710,16,16,16,16,16,16,16,16,16,16
17,sequence_47686,13,13,13,13,13,13,13,13,13,13
18,sequence_47778,3,3,3,3,3,3,3,3,3,3
19,sequence_47780,3,3,3,3,3,3,3,3,3,3
20,sequence_47785,25,25,25,25,25,25,25,25,25,25
21,sequence_47803,20,20,20,20,20,20,20,20,20,20
22,sequence_47663,28,28,28,28,28,28,28,28,28,28
23,sequence_47757,9,9,9,9,9,9,9,9,9,9
24,sequence_47783,15,15,15,15,15,15,15,15,15,15
25,sequence_47796,4,4,4,4,4,4,4,4,4,4
26,sequence_47750,14,14,14,14,14,14,14,14,14,14
27,sequence_47760,14,14,14,14,14,14,14,14,14,14
28,sequence_47773,25,25,25,25,25,25,25,25,25,25
29,sequence_47768,1,1,1,1,1,1,1,1,1,1
30,sequence_47771,9,9,9,9,9,9,9,9,9,9
31,sequence_47681,0,0,0,0,0,0,0,0,0,0
32,sequence_47696,8,8,8,8,8,8,8,8,8,8
33,sequence_47680,5,5,5,5,5,5,5,5,5,5
34,sequence_47673,5,5,5,5,5,5,5,5,5,5
35,sequence_47700,5,5,5,5,5,5,5,5,5,5
36,sequence_47689,16,16,16,16,16,16,16,16,16,16
37,sequence_47683,23,23,23,23,23,23,23,23,23,23
38,sequence_47697,7,7,7,7,7,7,7,7,7,7
39,sequence_47678,13,13,13,13,13,13,13,13,13,13
40,sequence_47682,23,23,23,23,23,23,23,23,23,23
41,sequence_47724,23,23,23,23,23,23,23,23,23,23
42,sequence_47806,3,3,3,3,3,3,3,3,3,3
43,sequence_47807,20,20,20,20,20,20,20,20,20,20
44,sequence_47804,12,12,12,12,12,12,12,12,12,12
45,sequence_47800,20,20,20,20,20,20,20,20,20,20
46,sequence_47799,20,20,20,20,20,20,20,20,20,20
47,sequence_47664,22,22,22,22,22,22,22,22,22,22
48,sequence_47666,28,28,28,28,28,28,28,28,28,28
49,sequence_47671,28,28,28,28,28,28,28,28,28,28
50,sequence_47727,15,15,15,15,15,15,15,15,15,15
51,sequence_47756,15,15,15,15,15,15,15,15,15,15
52,sequence_47775,15,15,15,15,15,15,15,15,15,15
53,sequence_47730,4,4,4,4,4,4,4,4,4,4
54,sequence_47758,4,4,4,4,4,4,4,4,4,4
55,sequence_47797,6,6,6,6,6,6,6,6,6,6
56,sequence_47798,27,27,27,27,27,27,27,27,27,27
57,sequence_47751,10,10,10,10,10,10,10,10,10,10
58,sequence_47741,1,1,1,1,1,1,1,1,1,1
59,sequence_47743,1,1,1,1,1,1,1,1,1,1
60,sequence_47752,21,21,21,21,21,21,21,21,21,21
61,sequence_47745,9,9,9,9,9,9,9,9,9,9
62,sequence_47747,1,1,1,1,1,1,1,1,1,1
63,sequence_47748,9,9,9,9,9,9,9,9,9,9
64,sequence_47749,9,9,9,9,9,9,9,9,9,9
65,sequence_47744,1,1,1,1,1,1,1,1,1,1
