,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_51016,1,1,1,1,1,1,1,1,1,1
1,sequence_51170,1,1,1,1,1,1,1,1,1,1
2,sequence_32130,0,0,0,0,0,0,0,0,0,0
3,sequence_51136,1,1,1,1,1,1,1,1,1,1
4,sequence_51191,1,1,1,1,1,1,1,1,1,1
5,sequence_51140,1,1,1,1,1,1,1,1,1,1
6,sequence_51149,1,1,1,1,1,1,1,1,1,1
7,sequence_51181,1,1,1,1,1,1,1,1,1,1
8,sequence_51159,1,1,1,1,1,1,1,1,1,1
9,sequence_51175,1,1,1,1,1,1,1,1,1,1
10,sequence_51174,1,1,1,1,1,1,1,1,1,1
11,sequence_51169,1,1,1,1,1,1,1,1,1,1
12,sequence_51199,1,1,1,1,1,1,1,1,1,1
13,sequence_51144,1,1,1,1,1,1,1,1,1,1
14,sequence_51183,1,1,1,1,1,1,1,1,1,1
15,sequence_51157,1,1,1,1,1,1,1,1,1,1
16,sequence_51163,1,1,1,1,1,1,1,1,1,1
17,sequence_51173,1,1,1,1,1,1,1,1,1,1
18,sequence_51168,1,1,1,1,1,1,1,1,1,1
19,sequence_51171,1,1,1,1,1,1,1,1,1,1
20,sequence_51182,1,1,1,1,1,1,1,1,1,1
21,sequence_51131,1,1,1,1,1,1,1,1,1,1
22,sequence_51138,1,1,1,1,1,1,1,1,1,1
23,sequence_51196,1,1,1,1,1,1,1,1,1,1
24,sequence_51202,1,1,1,1,1,1,1,1,1,1
25,sequence_51192,1,1,1,1,1,1,1,1,1,1
26,sequence_51147,1,1,1,1,1,1,1,1,1,1
27,sequence_51151,1,1,1,1,1,1,1,1,1,1
28,sequence_51145,1,1,1,1,1,1,1,1,1,1
29,sequence_51187,1,1,1,1,1,1,1,1,1,1
30,sequence_51148,1,1,1,1,1,1,1,1,1,1
31,sequence_51141,1,1,1,1,1,1,1,1,1,1
32,sequence_51137,1,1,1,1,1,1,1,1,1,1
33,sequence_32151,0,0,0,0,0,0,0,0,0,0
34,sequence_32148,0,0,0,0,0,0,0,0,0,0
35,sequence_32117,0,0,0,0,0,0,0,0,0,0
36,sequence_32141,0,0,0,0,0,0,0,0,0,0
37,sequence_32124,0,0,0,0,0,0,0,0,0,0
38,sequence_32126,0,0,0,0,0,0,0,0,0,0
39,sequence_32127,0,0,0,0,0,0,0,0,0,0
40,sequence_32133,0,0,0,0,0,0,0,0,0,0
41,sequence_32131,0,0,0,0,0,0,0,0,0,0
42,sequence_32174,0,0,0,0,0,0,0,0,0,0
