,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_53082,2,2,2,2,2,2,2,2,2,2
1,sequence_19402,0,0,0,0,0,0,0,0,0,0
2,sequence_20054,0,0,0,0,0,0,0,0,0,0
3,sequence_20048,0,0,0,0,0,0,0,0,0,0
4,sequence_20036,1,1,1,1,1,1,1,1,1,1
5,sequence_19525,0,0,0,0,0,0,0,0,0,0
6,sequence_20061,1,1,1,1,1,1,1,1,1,1
7,sequence_19496,0,0,0,0,0,0,0,0,0,0
8,sequence_19477,1,1,1,1,1,1,1,1,1,1
9,sequence_19363,1,1,1,1,1,1,1,1,1,1
10,sequence_19500,1,1,1,1,1,1,1,1,1,1
11,sequence_19453,0,0,0,0,0,0,0,0,0,0
12,sequence_53075,2,2,2,2,2,2,2,2,2,2
13,sequence_19522,0,0,0,0,0,0,0,0,0,0
14,sequence_19523,0,0,0,0,0,0,0,0,0,0
15,sequence_53078,2,2,2,2,2,2,2,2,2,2
16,sequence_20069,1,1,1,1,1,1,1,1,1,1
17,sequence_53062,2,2,2,2,2,2,2,2,2,2
18,sequence_20060,1,1,1,1,1,1,1,1,1,1
19,sequence_53066,2,2,2,2,2,2,2,2,2,2
20,sequence_19417,0,0,0,0,0,0,0,0,0,0
21,sequence_19391,0,0,0,0,0,0,0,0,0,0
22,sequence_19447,1,1,1,1,1,1,1,1,1,1
23,sequence_53079,2,2,2,2,2,2,2,2,2,2
24,sequence_20042,0,0,0,0,0,0,0,0,0,0
25,sequence_19419,0,0,0,0,0,0,0,0,0,0
26,sequence_19425,1,1,1,1,1,1,1,1,1,1
27,sequence_19450,1,1,1,1,1,1,1,1,1,1
28,sequence_53085,2,2,2,2,2,2,2,2,2,2
29,sequence_19509,0,0,0,0,0,0,0,0,0,0
30,sequence_53059,2,2,2,2,2,2,2,2,2,2
31,sequence_19430,0,0,0,0,0,0,0,0,0,0
32,sequence_20052,0,0,0,0,0,0,0,0,0,0
33,sequence_19369,0,0,0,0,0,0,0,0,0,0
34,sequence_53064,2,2,2,2,2,2,2,2,2,2
35,sequence_20072,1,1,1,1,1,1,1,1,1,1
36,sequence_20038,1,1,1,1,1,1,1,1,1,1
37,sequence_20039,1,1,1,1,1,1,1,1,1,1
38,sequence_19506,0,0,0,0,0,0,0,0,0,0
39,sequence_20064,0,0,0,0,0,0,0,0,0,0
40,sequence_19530,0,0,0,0,0,0,0,0,0,0
41,sequence_19498,1,1,1,1,1,1,1,1,1,1
42,sequence_19504,0,0,0,0,0,0,0,0,0,0
43,sequence_19386,1,1,1,1,1,1,1,1,1,1
44,sequence_19519,1,1,1,1,1,1,1,1,1,1
45,sequence_19404,1,1,1,1,1,1,1,1,1,1
46,sequence_19446,0,0,0,0,0,0,0,0,0,0
47,sequence_20063,1,1,1,1,1,1,1,1,1,1
48,sequence_20043,1,1,1,1,1,1,1,1,1,1
49,sequence_19497,1,1,1,1,1,1,1,1,1,1
50,sequence_19490,0,0,0,0,0,0,0,0,0,0
51,sequence_19376,0,0,0,0,0,0,0,0,0,0
52,sequence_19406,1,1,1,1,1,1,1,1,1,1
53,sequence_19405,1,1,1,1,1,1,1,1,1,1
54,sequence_19382,1,1,1,1,1,1,1,1,1,1
55,sequence_20067,1,1,1,1,1,1,1,1,1,1
56,sequence_19409,1,1,1,1,1,1,1,1,1,1
57,sequence_19354,1,1,1,1,1,1,1,1,1,1
58,sequence_20040,0,0,0,0,0,0,0,0,0,0
59,sequence_19370,0,0,0,0,0,0,0,0,0,0
60,sequence_19432,0,0,0,0,0,0,0,0,0,0
61,sequence_19371,0,0,0,0,0,0,0,0,0,0
62,sequence_19434,0,0,0,0,0,0,0,0,0,0
63,sequence_19505,0,0,0,0,0,0,0,0,0,0
64,sequence_53070,2,2,2,2,2,2,2,2,2,2
65,sequence_19392,0,0,0,0,0,0,0,0,0,0
66,sequence_19357,1,1,1,1,1,1,1,1,1,1
67,sequence_20056,1,1,1,1,1,1,1,1,1,1
68,sequence_19526,0,0,0,0,0,0,0,0,0,0
69,sequence_20046,1,1,1,1,1,1,1,1,1,1
70,sequence_19443,1,1,1,1,1,1,1,1,1,1
71,sequence_19410,1,1,1,1,1,1,1,1,1,1
72,sequence_19390,0,0,0,0,0,0,0,0,0,0
73,sequence_19439,1,1,1,1,1,1,1,1,1,1
74,sequence_20071,1,1,1,1,1,1,1,1,1,1
75,sequence_19451,1,1,1,1,1,1,1,1,1,1
76,sequence_20041,0,0,0,0,0,0,0,0,0,0
77,sequence_19415,1,1,1,1,1,1,1,1,1,1
78,sequence_20035,1,1,1,1,1,1,1,1,1,1
79,sequence_20051,0,0,0,0,0,0,0,0,0,0
80,sequence_19397,0,0,0,0,0,0,0,0,0,0
81,sequence_19394,0,0,0,0,0,0,0,0,0,0
82,sequence_19374,0,0,0,0,0,0,0,0,0,0
83,sequence_19378,0,0,0,0,0,0,0,0,0,0
84,sequence_19441,1,1,1,1,1,1,1,1,1,1
85,sequence_19433,0,0,0,0,0,0,0,0,0,0
86,sequence_20062,1,1,1,1,1,1,1,1,1,1
87,sequence_19393,0,0,0,0,0,0,0,0,0,0
