,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,0,0,0,0,0,0,0,0,0,0
1,sequence_47684,0,0,0,0,0,0,0,0,0,0
2,sequence_47789,7,7,7,7,7,7,7,7,7,7
3,sequence_47790,7,7,7,7,7,7,7,7,7,7
4,sequence_47781,4,4,4,4,4,4,4,4,4,4
5,sequence_47777,4,4,4,4,4,4,4,4,4,4
6,sequence_47779,4,4,4,4,4,4,4,4,4,4
7,sequence_47784,2,2,2,2,2,2,2,2,2,2
8,sequence_47786,4,4,4,4,4,4,4,4,4,4
9,sequence_47782,4,4,4,4,4,4,4,4,4,4
10,sequence_47772,0,0,0,0,0,0,0,0,0,0
11,sequence_47795,0,0,0,0,0,0,0,0,0,0
12,sequence_47776,0,0,0,0,0,0,0,0,0,0
13,sequence_47685,0,0,0,0,0,0,0,0,0,0
14,sequence_47679,4,4,4,4,4,4,4,4,4,4
15,sequence_47695,0,0,0,0,0,0,0,0,0,0
16,sequence_47710,0,0,0,0,0,0,0,0,0,0
17,sequence_47686,7,7,7,7,7,7,7,7,7,7
18,sequence_47778,1,1,1,1,1,1,1,1,1,1
19,sequence_47780,1,1,1,1,1,1,1,1,1,1
20,sequence_47785,1,1,1,1,1,1,1,1,1,1
21,sequence_47803,7,7,7,7,7,7,7,7,7,7
22,sequence_47663,2,2,2,2,2,2,2,2,2,2
23,sequence_47757,2,2,2,2,2,2,2,2,2,2
24,sequence_47783,5,5,5,5,5,5,5,5,5,5
25,sequence_47796,2,2,2,2,2,2,2,2,2,2
26,sequence_47750,0,0,0,0,0,0,0,0,0,0
27,sequence_47760,3,3,3,3,3,3,3,3,3,3
28,sequence_47773,7,7,7,7,7,7,7,7,7,7
29,sequence_47768,4,4,4,4,4,4,4,4,4,4
30,sequence_47771,4,4,4,4,4,4,4,4,4,4
31,sequence_47681,4,4,4,4,4,4,4,4,4,4
32,sequence_47696,0,0,0,0,0,0,0,0,0,0
33,sequence_47680,4,4,4,4,4,4,4,4,4,4
34,sequence_47673,4,4,4,4,4,4,4,4,4,4
35,sequence_47700,4,4,4,4,4,4,4,4,4,4
36,sequence_47689,2,2,2,2,2,2,2,2,2,2
37,sequence_47683,1,1,1,1,1,1,1,1,1,1
