,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_53082,0,0,0,0,0,0,0,0,0,0
1,sequence_19402,14,13,12,13,12,13,13,12,12,13
2,sequence_20054,5,4,4,5,4,5,5,4,4,5
3,sequence_20048,5,4,4,5,4,5,5,4,4,5
4,sequence_20036,5,4,4,5,4,5,5,4,4,5
5,sequence_19525,7,6,6,7,6,7,7,6,6,7
6,sequence_20061,11,10,11,12,11,12,12,11,11,12
7,sequence_19496,10,9,9,10,9,10,10,9,9,10
8,sequence_19477,1,1,1,1,1,1,1,1,1,1
9,sequence_19363,14,13,12,13,12,13,13,12,12,13
10,sequence_19500,13,12,16,17,16,17,17,16,16,17
11,sequence_19453,24,24,24,24,24,24,24,24,24,24
12,sequence_53075,2,2,2,2,2,2,2,2,2,2
13,sequence_19522,17,16,16,17,16,17,17,16,16,17
14,sequence_19523,29,29,29,29,29,29,29,30,30,30
15,sequence_53078,2,2,2,2,2,2,2,2,2,2
16,sequence_20069,15,14,13,14,13,14,14,13,13,14
17,sequence_53062,34,34,34,34,34,34,34,34,34,34
18,sequence_20060,11,10,11,12,11,12,12,11,11,12
19,sequence_53066,22,22,22,22,22,22,22,22,22,22
20,sequence_19417,19,18,18,19,18,19,19,18,18,19
21,sequence_19391,9,8,8,9,8,9,9,8,8,9
22,sequence_19447,4,3,3,4,3,4,4,3,3,4
23,sequence_53079,22,22,22,22,22,22,22,22,22,22
24,sequence_20042,8,7,7,8,7,8,8,7,7,8
25,sequence_19419,31,31,31,31,31,31,31,27,27,27
26,sequence_19425,23,23,23,23,23,23,23,23,23,23
27,sequence_19450,1,1,1,1,1,1,1,1,1,1
28,sequence_53085,32,32,32,32,32,32,32,32,32,32
29,sequence_19509,28,28,28,28,28,28,28,29,29,29
30,sequence_53059,2,2,2,2,2,2,2,2,2,2
31,sequence_19430,24,24,24,24,24,24,24,24,24,24
32,sequence_20052,5,4,4,5,4,5,5,4,4,5
33,sequence_19369,6,5,5,6,5,6,6,5,5,6
34,sequence_53064,22,22,22,22,22,22,22,22,22,22
35,sequence_20072,18,17,17,18,17,18,18,17,17,18
36,sequence_20038,18,17,17,18,17,18,18,17,17,18
37,sequence_20039,8,7,7,8,7,8,8,7,7,8
38,sequence_19506,17,16,16,17,16,17,17,16,16,17
39,sequence_20064,25,25,25,25,25,25,25,25,25,25
40,sequence_19530,14,13,12,13,12,13,13,12,12,13
41,sequence_19498,26,26,26,26,26,26,26,26,26,26
42,sequence_19504,27,27,27,27,27,27,27,28,28,28
43,sequence_19386,14,13,12,13,12,13,13,12,12,13
44,sequence_19519,13,12,15,16,15,16,16,15,15,16
45,sequence_19404,6,5,5,6,5,6,6,5,5,6
46,sequence_19446,12,11,10,11,10,11,11,10,10,11
47,sequence_20063,15,14,13,14,13,14,14,13,13,14
48,sequence_20043,3,21,21,3,21,3,3,21,21,3
49,sequence_19497,30,30,30,30,30,30,30,31,31,31
50,sequence_19490,17,16,16,17,16,17,17,16,16,17
51,sequence_19376,9,8,8,9,8,9,9,8,8,9
52,sequence_19406,4,3,3,4,3,4,4,3,3,4
53,sequence_19405,19,18,18,19,18,19,19,18,18,19
54,sequence_19382,19,18,18,19,18,19,19,18,18,19
55,sequence_20067,15,14,13,14,13,14,14,13,13,14
56,sequence_19409,9,8,8,9,8,9,9,8,8,9
57,sequence_19354,4,3,3,4,3,4,4,3,3,4
58,sequence_20040,5,4,4,5,4,5,5,4,4,5
59,sequence_19370,6,5,5,6,5,6,6,5,5,6
60,sequence_19432,7,6,6,7,6,7,7,6,6,7
61,sequence_19371,19,18,18,19,18,19,19,18,18,19
62,sequence_19434,16,15,14,15,14,15,15,14,14,15
63,sequence_19505,13,12,15,16,15,16,16,15,15,16
64,sequence_53070,9,8,8,9,8,9,9,8,8,9
65,sequence_19392,31,31,31,31,31,31,31,27,27,27
66,sequence_19357,7,6,6,7,6,7,7,6,6,7
67,sequence_20056,27,27,27,27,27,27,27,28,28,28
68,sequence_19526,21,20,20,21,20,21,21,20,20,21
69,sequence_20046,8,7,7,8,7,8,8,7,7,8
70,sequence_19443,17,16,10,11,10,11,11,10,10,11
71,sequence_19410,4,3,3,4,3,4,4,3,3,4
72,sequence_19390,9,8,8,9,8,9,9,8,8,9
73,sequence_19439,24,24,24,24,24,24,24,24,24,24
74,sequence_20071,18,17,17,18,17,18,18,17,17,18
75,sequence_19451,28,28,28,28,28,28,28,29,29,29
76,sequence_20041,18,17,17,18,17,18,18,17,17,18
77,sequence_19415,10,9,9,10,9,10,10,9,9,10
78,sequence_20035,8,7,7,8,7,8,8,7,7,8
79,sequence_20051,15,14,13,14,13,14,14,13,13,14
80,sequence_19397,10,9,9,10,9,10,10,9,9,10
81,sequence_19394,14,13,12,13,12,13,13,12,12,13
82,sequence_19374,9,8,8,9,8,9,9,8,8,9
83,sequence_19378,10,9,9,10,9,10,10,9,9,10
84,sequence_19441,12,11,10,11,10,11,11,10,10,11
85,sequence_19433,7,6,6,7,6,7,7,6,6,7
86,sequence_20062,11,10,11,12,11,12,12,11,11,12
87,sequence_19393,26,26,26,26,26,26,26,26,26,26
88,sequence_20065,5,4,4,5,4,5,5,4,4,5
89,sequence_19383,12,11,10,11,10,11,11,10,10,11
90,sequence_19422,17,16,16,17,16,17,17,16,16,17
91,sequence_19495,28,28,28,28,28,28,28,29,29,29
92,sequence_19431,16,15,14,15,14,15,15,14,14,15
93,sequence_20058,15,14,13,14,13,14,14,13,13,14
94,sequence_19488,21,20,20,21,20,21,21,20,20,21
95,sequence_19375,10,9,9,10,9,10,10,9,9,10
96,sequence_19511,27,27,27,27,27,27,27,28,28,28
97,sequence_53065,22,22,22,22,22,22,22,22,22,22
98,sequence_53074,2,2,2,2,2,2,2,2,2,2
99,sequence_20050,19,18,18,19,18,19,19,18,18,19
100,sequence_19515,4,3,15,16,15,16,16,15,15,16
101,sequence_20057,15,14,13,14,13,14,14,13,13,14
102,sequence_19438,29,29,29,29,29,29,29,30,30,30
103,sequence_19486,7,6,6,7,6,7,7,6,6,7
104,sequence_19389,12,11,10,11,10,11,11,10,10,11
105,sequence_19468,13,12,15,16,15,16,16,15,15,16
106,sequence_20068,11,10,11,12,11,12,12,11,11,12
107,sequence_19420,10,9,9,10,9,10,10,9,9,10
108,sequence_20076,11,10,11,12,11,12,12,11,11,12
109,sequence_20070,8,7,7,8,7,8,8,7,7,8
110,sequence_19399,14,13,12,13,12,13,13,12,12,13
111,sequence_19436,16,15,14,15,14,15,15,14,14,15
112,sequence_19492,30,30,30,30,30,30,30,31,31,31
113,sequence_19445,6,5,5,6,5,6,6,5,5,6
114,sequence_19403,27,27,27,27,27,27,27,28,28,28
115,sequence_19428,23,23,23,23,23,23,23,23,23,23
116,sequence_19377,14,13,12,13,12,13,13,12,12,13
117,sequence_19427,1,1,1,1,1,1,1,1,1,1
118,sequence_19521,25,25,25,25,25,25,25,25,25,25
119,sequence_20045,15,14,13,14,13,14,14,13,13,14
120,sequence_19412,4,3,3,4,3,4,4,3,3,4
121,sequence_19508,17,16,16,17,16,17,17,16,16,17
122,sequence_53080,2,2,2,2,2,2,2,2,2,2
123,sequence_20073,15,14,13,14,13,14,14,13,13,14
124,sequence_19442,9,8,8,9,8,9,9,8,8,9
125,sequence_53077,20,19,19,20,19,20,20,19,19,20
126,sequence_19429,6,5,5,6,5,6,6,5,5,6
127,sequence_19416,4,3,3,4,3,4,4,3,3,4
128,sequence_20055,5,4,4,5,4,5,5,4,4,5
129,sequence_19388,4,3,3,4,3,4,4,3,3,4
130,sequence_20049,8,7,7,8,7,8,8,7,7,8
131,sequence_20059,18,17,17,18,17,18,18,17,17,18
132,sequence_19467,29,29,29,29,29,29,29,30,30,30
133,sequence_19373,9,8,8,9,8,9,9,8,8,9
134,sequence_19396,10,9,9,10,9,10,10,9,9,10
135,sequence_19527,1,1,1,1,1,1,1,1,1,1
136,sequence_19435,16,15,14,15,14,15,15,14,14,15
137,sequence_53069,2,2,2,2,2,2,2,2,2,2
138,sequence_19418,12,11,16,17,16,17,17,16,16,17
139,sequence_20075,8,7,7,8,7,8,8,7,7,8
140,sequence_19423,29,29,29,29,29,29,29,30,30,30
141,sequence_19516,29,29,29,29,29,29,29,30,30,30
