,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_51016,1,1,1,1,1,1,1,1,1,1
1,sequence_51170,2,2,2,2,2,2,2,2,2,2
2,sequence_32130,0,0,0,0,0,0,0,0,0,0
3,sequence_51136,2,2,2,2,2,2,2,2,2,2
4,sequence_51191,2,2,2,2,2,2,2,2,2,2
5,sequence_51140,2,2,2,2,2,2,2,2,2,2
6,sequence_51149,2,2,2,2,2,2,2,2,2,2
7,sequence_51181,2,2,2,2,2,2,2,2,2,2
8,sequence_51159,2,2,2,2,2,2,2,2,2,2
9,sequence_51175,2,2,2,2,2,2,2,2,2,2
10,sequence_51174,2,2,2,2,2,2,2,2,2,2
11,sequence_51169,2,2,2,2,2,2,2,2,2,2
12,sequence_51199,2,2,2,2,2,2,2,2,2,2
13,sequence_51144,2,2,2,2,2,2,2,2,2,2
14,sequence_51183,2,2,2,2,2,2,2,2,2,2
15,sequence_51157,2,2,2,2,2,2,2,2,2,2
16,sequence_51163,2,2,2,2,2,2,2,2,2,2
17,sequence_51173,2,2,2,2,2,2,2,2,2,2
18,sequence_51168,2,2,2,2,2,2,2,2,2,2
19,sequence_51171,2,2,2,2,2,2,2,2,2,2
20,sequence_51182,2,2,2,2,2,2,2,2,2,2
21,sequence_51131,2,2,2,2,2,2,2,2,2,2
22,sequence_51138,2,2,2,2,2,2,2,2,2,2
23,sequence_51196,2,2,2,2,2,2,2,2,2,2
24,sequence_51202,2,2,2,2,2,2,2,2,2,2
25,sequence_51192,2,2,2,2,2,2,2,2,2,2
26,sequence_51147,2,2,2,2,2,2,2,2,2,2
27,sequence_51151,2,2,2,2,2,2,2,2,2,2
28,sequence_51145,2,2,2,2,2,2,2,2,2,2
29,sequence_51187,2,2,2,2,2,2,2,2,2,2
30,sequence_51148,2,2,2,2,2,2,2,2,2,2
31,sequence_51141,2,2,2,2,2,2,2,2,2,2
32,sequence_51137,2,2,2,2,2,2,2,2,2,2
33,sequence_32151,0,0,0,0,0,0,0,0,0,0
34,sequence_32148,0,0,0,0,0,0,0,0,0,0
35,sequence_32117,0,0,0,0,0,0,0,0,0,0
36,sequence_32141,0,0,0,0,0,0,0,0,0,0
37,sequence_32124,0,0,0,0,0,0,0,0,0,0
38,sequence_32126,0,0,0,0,0,0,0,0,0,0
39,sequence_32127,0,0,0,0,0,0,0,0,0,0
40,sequence_32133,0,0,0,0,0,0,0,0,0,0
41,sequence_32131,0,0,0,0,0,0,0,0,0,0
42,sequence_32174,0,0,0,0,0,0,0,0,0,0
43,sequence_32114,0,0,0,0,0,0,0,0,0,0
44,sequence_32147,0,0,0,0,0,0,0,0,0,0
45,sequence_32119,0,0,0,0,0,0,0,0,0,0
46,sequence_32122,0,0,0,0,0,0,0,0,0,0
47,sequence_32125,0,0,0,0,0,0,0,0,0,0
48,sequence_32128,0,0,0,0,0,0,0,0,0,0
49,sequence_32129,0,0,0,0,0,0,0,0,0,0
50,sequence_32132,0,0,0,0,0,0,0,0,0,0
51,sequence_32167,0,0,0,0,0,0,0,0,0,0
52,sequence_50970,1,1,1,1,1,1,1,1,1,1
53,sequence_51045,1,1,1,1,1,1,1,1,1,1
54,sequence_51003,1,1,1,1,1,1,1,1,1,1
55,sequence_51032,1,1,1,1,1,1,1,1,1,1
56,sequence_51028,1,1,1,1,1,1,1,1,1,1
57,sequence_51025,1,1,1,1,1,1,1,1,1,1
58,sequence_51019,1,1,1,1,1,1,1,1,1,1
59,sequence_51017,1,1,1,1,1,1,1,1,1,1
60,sequence_51014,1,1,1,1,1,1,1,1,1,1
61,sequence_50984,1,1,1,1,1,1,1,1,1,1
62,sequence_51054,1,1,1,1,1,1,1,1,1,1
63,sequence_51002,1,1,1,1,1,1,1,1,1,1
64,sequence_51033,1,1,1,1,1,1,1,1,1,1
65,sequence_51027,1,1,1,1,1,1,1,1,1,1
66,sequence_51023,1,1,1,1,1,1,1,1,1,1
67,sequence_51012,1,1,1,1,1,1,1,1,1,1
68,sequence_51018,1,1,1,1,1,1,1,1,1,1
69,sequence_51015,1,1,1,1,1,1,1,1,1,1
70,sequence_50973,1,1,1,1,1,1,1,1,1,1
71,sequence_32112,0,0,0,0,0,0,0,0,0,0
72,sequence_50978,1,1,1,1,1,1,1,1,1,1
73,sequence_32162,0,0,0,0,0,0,0,0,0,0
74,sequence_50995,1,1,1,1,1,1,1,1,1,1
75,sequence_50972,1,1,1,1,1,1,1,1,1,1
76,sequence_32115,0,0,0,0,0,0,0,0,0,0
77,sequence_50979,1,1,1,1,1,1,1,1,1,1
78,sequence_32152,0,0,0,0,0,0,0,0,0,0
79,sequence_32113,0,0,0,0,0,0,0,0,0,0
80,sequence_32182,0,0,0,0,0,0,0,0,0,0
81,sequence_50987,1,1,1,1,1,1,1,1,1,1
82,sequence_51052,1,1,1,1,1,1,1,1,1,1
83,sequence_50988,1,1,1,1,1,1,1,1,1,1
84,sequence_32158,0,0,0,0,0,0,0,0,0,0
85,sequence_32180,0,0,0,0,0,0,0,0,0,0
86,sequence_51046,1,1,1,1,1,1,1,1,1,1
87,sequence_32181,0,0,0,0,0,0,0,0,0,0
88,sequence_32163,0,0,0,0,0,0,0,0,0,0
89,sequence_50980,1,1,1,1,1,1,1,1,1,1
90,sequence_50969,1,1,1,1,1,1,1,1,1,1
91,sequence_50996,1,1,1,1,1,1,1,1,1,1
92,sequence_50989,1,1,1,1,1,1,1,1,1,1
93,sequence_32150,0,0,0,0,0,0,0,0,0,0
94,sequence_51053,1,1,1,1,1,1,1,1,1,1
95,sequence_50966,1,1,1,1,1,1,1,1,1,1
96,sequence_32116,0,0,0,0,0,0,0,0,0,0
97,sequence_32159,0,0,0,0,0,0,0,0,0,0
98,sequence_32149,0,0,0,0,0,0,0,0,0,0
99,sequence_51133,2,2,2,2,2,2,2,2,2,2
100,sequence_51189,2,2,2,2,2,2,2,2,2,2
101,sequence_51167,2,2,2,2,2,2,2,2,2,2
102,sequence_51130,2,2,2,2,2,2,2,2,2,2
103,sequence_51186,2,2,2,2,2,2,2,2,2,2
104,sequence_51178,2,2,2,2,2,2,2,2,2,2
105,sequence_51158,2,2,2,2,2,2,2,2,2,2
106,sequence_51165,2,2,2,2,2,2,2,2,2,2
107,sequence_51176,2,2,2,2,2,2,2,2,2,2
108,sequence_51155,2,2,2,2,2,2,2,2,2,2
109,sequence_51162,2,2,2,2,2,2,2,2,2,2
110,sequence_51172,2,2,2,2,2,2,2,2,2,2
111,sequence_51195,2,2,2,2,2,2,2,2,2,2
112,sequence_51152,2,2,2,2,2,2,2,2,2,2
113,sequence_51177,2,2,2,2,2,2,2,2,2,2
114,sequence_51161,2,2,2,2,2,2,2,2,2,2
115,sequence_51166,2,2,2,2,2,2,2,2,2,2
116,sequence_51156,2,2,2,2,2,2,2,2,2,2
117,sequence_51180,2,2,2,2,2,2,2,2,2,2
118,sequence_51164,2,2,2,2,2,2,2,2,2,2
119,sequence_51194,2,2,2,2,2,2,2,2,2,2
120,sequence_51154,2,2,2,2,2,2,2,2,2,2
121,sequence_51188,2,2,2,2,2,2,2,2,2,2
122,sequence_51179,2,2,2,2,2,2,2,2,2,2
123,sequence_51127,2,2,2,2,2,2,2,2,2,2
124,sequence_51198,2,2,2,2,2,2,2,2,2,2
125,sequence_51160,2,2,2,2,2,2,2,2,2,2
126,sequence_51184,2,2,2,2,2,2,2,2,2,2
127,sequence_51129,2,2,2,2,2,2,2,2,2,2
128,sequence_51185,2,2,2,2,2,2,2,2,2,2
129,sequence_51128,2,2,2,2,2,2,2,2,2,2
130,sequence_51134,2,2,2,2,2,2,2,2,2,2
131,sequence_51135,2,2,2,2,2,2,2,2,2,2
132,sequence_51190,2,2,2,2,2,2,2,2,2,2
133,sequence_32134,0,0,0,0,0,0,0,0,0,0
134,sequence_32160,0,0,0,0,0,0,0,0,0,0
135,sequence_32110,0,0,0,0,0,0,0,0,0,0
136,sequence_32120,0,0,0,0,0,0,0,0,0,0
137,sequence_32142,0,0,0,0,0,0,0,0,0,0
138,sequence_32137,0,0,0,0,0,0,0,0,0,0
139,sequence_32123,0,0,0,0,0,0,0,0,0,0
140,sequence_32143,0,0,0,0,0,0,0,0,0,0
141,sequence_32139,0,0,0,0,0,0,0,0,0,0
142,sequence_32135,0,0,0,0,0,0,0,0,0,0
143,sequence_32176,0,0,0,0,0,0,0,0,0,0
144,sequence_32109,0,0,0,0,0,0,0,0,0,0
145,sequence_32121,0,0,0,0,0,0,0,0,0,0
146,sequence_32140,0,0,0,0,0,0,0,0,0,0
147,sequence_32136,0,0,0,0,0,0,0,0,0,0
148,sequence_50974,1,1,1,1,1,1,1,1,1,1
149,sequence_32118,0,0,0,0,0,0,0,0,0,0
150,sequence_32146,0,0,0,0,0,0,0,0,0,0
151,sequence_32138,0,0,0,0,0,0,0,0,0,0
152,sequence_50962,1,1,1,1,1,1,1,1,1,1
153,sequence_51050,1,1,1,1,1,1,1,1,1,1
154,sequence_51029,1,1,1,1,1,1,1,1,1,1
155,sequence_51008,1,1,1,1,1,1,1,1,1,1
156,sequence_51011,1,1,1,1,1,1,1,1,1,1
157,sequence_32164,0,0,0,0,0,0,0,0,0,0
158,sequence_51035,1,1,1,1,1,1,1,1,1,1
159,sequence_51005,1,1,1,1,1,1,1,1,1,1
160,sequence_51010,1,1,1,1,1,1,1,1,1,1
161,sequence_51013,1,1,1,1,1,1,1,1,1,1
162,sequence_50991,1,1,1,1,1,1,1,1,1,1
163,sequence_51043,1,1,1,1,1,1,1,1,1,1
164,sequence_51009,1,1,1,1,1,1,1,1,1,1
165,sequence_51031,1,1,1,1,1,1,1,1,1,1
166,sequence_51020,1,1,1,1,1,1,1,1,1,1
167,sequence_51034,1,1,1,1,1,1,1,1,1,1
168,sequence_51007,1,1,1,1,1,1,1,1,1,1
169,sequence_51026,1,1,1,1,1,1,1,1,1,1
170,sequence_32169,0,0,0,0,0,0,0,0,0,0
171,sequence_51000,1,1,1,1,1,1,1,1,1,1
172,sequence_32171,0,0,0,0,0,0,0,0,0,0
173,sequence_32170,0,0,0,0,0,0,0,0,0,0
174,sequence_32166,0,0,0,0,0,0,0,0,0,0
175,sequence_32179,0,0,0,0,0,0,0,0,0,0
176,sequence_50997,1,1,1,1,1,1,1,1,1,1
177,sequence_50998,1,1,1,1,1,1,1,1,1,1
178,sequence_50999,1,1,1,1,1,1,1,1,1,1
179,sequence_50961,1,1,1,1,1,1,1,1,1,1
180,sequence_32175,0,0,0,0,0,0,0,0,0,0
181,sequence_32178,0,0,0,0,0,0,0,0,0,0
182,sequence_51041,1,1,1,1,1,1,1,1,1,1
183,sequence_50965,1,1,1,1,1,1,1,1,1,1
184,sequence_51048,1,1,1,1,1,1,1,1,1,1
185,sequence_50992,1,1,1,1,1,1,1,1,1,1
186,sequence_32165,0,0,0,0,0,0,0,0,0,0
187,sequence_51040,1,1,1,1,1,1,1,1,1,1
188,sequence_32177,0,0,0,0,0,0,0,0,0,0
189,sequence_50963,1,1,1,1,1,1,1,1,1,1
190,sequence_51001,1,1,1,1,1,1,1,1,1,1
191,sequence_50990,1,1,1,1,1,1,1,1,1,1
192,sequence_32168,0,0,0,0,0,0,0,0,0,0
193,sequence_32172,0,0,0,0,0,0,0,0,0,0
194,sequence_32111,0,0,0,0,0,0,0,0,0,0
195,sequence_51051,1,1,1,1,1,1,1,1,1,1
