,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_40826,7,7,7,7,7,7,7,7,7,7
1,sequence_40787,7,7,7,7,7,7,7,7,7,7
2,sequence_40789,24,24,24,24,24,24,24,24,24,24
3,sequence_40794,24,24,24,24,24,24,24,24,24,24
4,sequence_40806,1,1,1,1,1,1,1,1,1,1
5,sequence_40807,15,15,15,15,15,15,15,15,15,15
6,sequence_40809,1,1,1,1,1,1,1,1,1,1
7,sequence_40811,21,21,21,21,21,21,21,21,21,21
8,sequence_40813,7,7,7,7,7,7,7,7,7,7
9,sequence_40814,10,10,10,10,10,10,10,10,10,10
10,sequence_40845,10,10,10,10,10,10,10,10,10,10
11,sequence_40855,7,7,7,7,7,7,7,7,7,7
12,sequence_40857,7,7,7,7,7,7,7,7,7,7
13,sequence_40840,7,7,7,7,7,7,7,7,7,7
14,sequence_40841,7,7,7,7,7,7,7,7,7,7
15,sequence_40842,4,4,4,4,4,4,4,4,4,4
16,sequence_40844,4,4,4,4,4,4,4,4,4,4
17,sequence_40838,7,7,7,7,7,7,7,7,7,7
18,sequence_40816,19,19,19,19,19,19,19,19,19,19
19,sequence_40817,7,7,7,7,7,7,7,7,7,7
20,sequence_40818,19,19,19,19,19,19,19,19,19,19
21,sequence_40827,18,18,18,18,18,18,18,18,18,18
22,sequence_40828,18,18,18,18,18,18,18,18,18,18
23,sequence_40829,22,22,22,22,22,22,22,22,22,22
24,sequence_40831,22,22,22,22,22,22,22,22,22,22
25,sequence_40856,9,9,9,9,9,9,9,9,9,9
26,sequence_40815,2,2,2,2,2,2,2,2,2,2
27,sequence_40851,8,8,8,8,8,8,8,8,8,8
28,sequence_40847,2,2,2,2,2,2,2,2,2,2
29,sequence_40858,9,9,9,9,9,9,9,9,9,9
30,sequence_40852,2,2,2,2,2,2,2,2,2,2
31,sequence_40843,9,9,9,9,9,9,9,9,9,9
32,sequence_40846,8,8,8,8,8,8,8,8,8,8
33,sequence_40791,13,13,13,13,13,13,13,13,13,13
34,sequence_40793,13,13,13,13,13,13,13,13,13,13
35,sequence_40861,2,2,2,2,2,2,2,2,2,2
36,sequence_40812,11,11,11,11,11,11,11,11,11,11
37,sequence_40854,2,2,2,2,2,2,2,2,2,2
38,sequence_40853,12,12,12,12,12,12,12,12,12,12
39,sequence_40848,2,2,2,2,2,2,2,2,2,2
40,sequence_40849,2,2,2,2,2,2,2,2,2,2
41,sequence_40850,2,2,2,2,2,2,2,2,2,2
42,sequence_40792,6,6,6,6,6,6,6,6,6,6
43,sequence_40790,6,6,6,6,6,6,6,6,6,6
44,sequence_40860,20,20,20,20,20,20,20,20,20,20
45,sequence_40839,7,7,7,7,7,7,7,7,7,7
46,sequence_40835,16,16,16,16,16,16,16,16,16,16
47,sequence_40819,7,7,7,7,7,7,7,7,7,7
48,sequence_40824,7,7,7,7,7,7,7,7,7,7
49,sequence_40825,7,7,7,7,7,7,7,7,7,7
50,sequence_40797,3,3,3,3,3,3,3,3,3,3
51,sequence_40800,3,3,3,3,3,3,3,3,3,3
52,sequence_40803,17,17,17,17,17,17,17,17,17,17
53,sequence_40804,3,3,3,3,3,3,3,3,3,3
54,sequence_40805,3,3,3,3,3,3,3,3,3,3
55,sequence_40864,17,17,17,17,17,17,17,17,17,17
56,sequence_40808,15,15,15,15,15,15,15,15,15,15
57,sequence_40810,7,7,7,7,7,7,7,7,7,7
58,sequence_40862,20,20,20,20,20,20,20,20,20,20
59,sequence_40859,14,14,14,14,14,14,14,14,14,14
60,sequence_40836,7,7,7,7,7,7,7,7,7,7
61,sequence_40837,7,7,7,7,7,7,7,7,7,7
62,sequence_40820,5,5,5,5,5,5,5,5,5,5
63,sequence_40821,5,5,5,5,5,5,5,5,5,5
64,sequence_40822,7,7,7,7,7,7,7,7,7,7
65,sequence_40823,7,7,7,7,7,7,7,7,7,7
66,sequence_40834,26,26,26,26,26,26,26,26,26,26
67,sequence_40832,7,7,7,7,7,7,7,7,7,7
68,sequence_40833,27,27,27,27,27,27,27,27,27,27
69,sequence_40830,18,18,18,18,18,18,18,18,18,18
70,sequence_40798,0,0,0,0,0,0,0,0,0,0
71,sequence_40865,18,18,18,18,18,18,18,18,18,18
72,sequence_40863,5,5,5,5,5,5,5,5,5,5
73,sequence_40801,0,0,0,0,0,0,0,0,0,0
74,sequence_40802,20,20,20,20,20,20,20,20,20,20
75,sequence_40796,23,23,23,23,23,23,23,23,23,23
76,sequence_40795,5,5,5,5,5,5,5,5,5,5
77,sequence_40866,0,0,0,0,0,0,0,0,0,0
78,sequence_40799,0,0,0,0,0,0,0,0,0,0
79,sequence_40788,25,25,25,25,25,25,25,25,25,25
80,sequence_40867,0,0,0,0,0,0,0,0,0,0
