,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_53082,1,1,1,1,1,1,1,1,1,1
1,sequence_19402,2,2,2,2,2,2,2,2,2,2
2,sequence_20054,2,2,2,2,2,2,2,2,2,2
3,sequence_20048,2,2,2,2,2,2,2,2,2,2
4,sequence_20036,0,0,0,0,0,0,0,0,0,0
5,sequence_19525,2,2,2,2,2,2,2,2,2,2
6,sequence_20061,0,0,0,0,0,0,0,0,0,0
7,sequence_19496,2,2,2,2,2,2,2,2,2,2
8,sequence_19477,1,1,1,1,1,1,1,1,1,1
9,sequence_19363,0,0,0,0,0,0,0,0,0,0
10,sequence_19500,0,0,0,0,0,0,0,0,0,0
11,sequence_19453,2,2,2,2,2,2,2,2,2,2
12,sequence_53075,1,1,1,1,1,1,1,1,1,1
13,sequence_19522,2,2,2,2,2,2,2,2,2,2
14,sequence_19523,2,2,2,2,2,2,2,2,2,2
15,sequence_53078,1,1,1,1,1,1,1,1,1,1
16,sequence_20069,0,0,0,0,0,0,0,0,0,0
17,sequence_53062,1,1,1,1,1,1,1,1,1,1
18,sequence_20060,0,0,0,0,0,0,0,0,0,0
19,sequence_53066,1,1,1,1,1,1,1,1,1,1
20,sequence_19417,2,2,2,2,2,2,2,2,2,2
21,sequence_19391,2,2,2,2,2,2,2,2,2,2
22,sequence_19447,1,1,1,1,1,1,1,1,1,1
23,sequence_53079,1,1,1,1,1,1,1,1,1,1
24,sequence_20042,2,2,2,2,2,2,2,2,2,2
25,sequence_19419,2,2,2,2,2,2,2,2,2,2
26,sequence_19425,2,2,2,2,2,2,2,2,2,2
27,sequence_19450,1,1,1,1,1,1,1,1,1,1
28,sequence_53085,1,1,1,1,1,1,1,1,1,1
29,sequence_19509,2,2,2,2,2,2,2,2,2,2
30,sequence_53059,1,1,1,1,1,1,1,1,1,1
31,sequence_19430,2,2,2,2,2,2,2,2,2,2
32,sequence_20052,0,0,0,0,0,0,0,0,0,0
33,sequence_19369,2,2,2,2,2,2,2,2,2,2
34,sequence_53064,1,1,1,1,1,1,1,1,1,1
35,sequence_20072,0,0,0,0,0,0,0,0,0,0
36,sequence_20038,0,0,0,0,0,0,0,0,0,0
37,sequence_20039,0,0,0,0,0,0,0,0,0,0
