,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_40826,1,1,1,1,1,1,1,1,1,1
1,sequence_40787,1,1,1,1,1,1,1,1,1,1
2,sequence_40789,1,1,1,1,1,1,1,1,1,1
3,sequence_40794,1,1,1,1,1,1,1,1,1,1
4,sequence_40806,1,1,1,1,1,1,1,1,1,1
5,sequence_40807,1,1,1,1,1,1,1,1,1,1
6,sequence_40809,1,1,1,1,1,1,1,1,1,1
7,sequence_40811,1,1,1,1,1,1,1,1,1,1
8,sequence_40813,1,1,1,1,1,1,1,1,1,1
9,sequence_40814,1,1,1,1,1,1,1,1,1,1
10,sequence_40845,1,1,1,1,1,1,1,1,1,1
11,sequence_40855,1,1,1,1,1,1,1,1,1,1
12,sequence_40857,1,1,1,1,1,1,1,1,1,1
13,sequence_40840,1,1,1,1,1,1,1,1,1,1
14,sequence_40841,1,1,1,1,1,1,1,1,1,1
15,sequence_40842,1,1,1,1,1,1,1,1,1,1
16,sequence_40844,0,0,0,0,0,0,0,0,0,0
17,sequence_40838,1,1,1,1,1,1,1,1,1,1
18,sequence_40816,1,1,1,1,1,1,1,1,1,1
19,sequence_40817,1,1,1,1,1,1,1,1,1,1
20,sequence_40818,1,1,1,1,1,1,1,1,1,1
21,sequence_40827,1,1,1,1,1,1,1,1,1,1
22,sequence_40828,1,1,1,1,1,1,1,1,1,1
23,sequence_40829,1,1,1,1,1,1,1,1,1,1
24,sequence_40831,1,1,1,1,1,1,1,1,1,1
25,sequence_40856,0,0,0,0,0,0,0,0,0,0
26,sequence_40815,0,0,0,0,0,0,0,0,0,0
27,sequence_40851,0,0,0,0,0,0,0,0,0,0
28,sequence_40847,0,0,0,0,0,0,0,0,0,0
29,sequence_40858,0,0,0,0,0,0,0,0,0,0
30,sequence_40852,0,0,0,0,0,0,0,0,0,0
31,sequence_40843,0,0,0,0,0,0,0,0,0,0
32,sequence_40846,0,0,0,0,0,0,0,0,0,0
33,sequence_40791,0,0,0,0,0,0,0,0,0,0
34,sequence_40793,0,0,0,0,0,0,0,0,0,0
35,sequence_40861,0,0,0,0,0,0,0,0,0,0
36,sequence_40812,0,0,0,0,0,0,0,0,0,0
37,sequence_40854,0,0,0,0,0,0,0,0,0,0
38,sequence_40853,0,0,0,0,0,0,0,0,0,0
39,sequence_40848,0,0,0,0,0,0,0,0,0,0
40,sequence_40849,0,0,0,0,0,0,0,0,0,0
41,sequence_40850,0,0,0,0,0,0,0,0,0,0
42,sequence_40792,1,1,1,1,1,1,1,1,1,1
43,sequence_40790,1,1,1,1,1,1,1,1,1,1
44,sequence_40860,1,1,1,1,1,1,1,1,1,1
45,sequence_40839,1,1,1,1,1,1,1,1,1,1
46,sequence_40835,1,1,1,1,1,1,1,1,1,1
47,sequence_40819,1,1,1,1,1,1,1,1,1,1
48,sequence_40824,1,1,1,1,1,1,1,1,1,1
49,sequence_40825,1,1,1,1,1,1,1,1,1,1
50,sequence_40797,1,1,1,1,1,1,1,1,1,1
51,sequence_40800,1,1,1,1,1,1,1,1,1,1
52,sequence_40803,1,1,1,1,1,1,1,1,1,1
53,sequence_40804,1,1,1,1,1,1,1,1,1,1
54,sequence_40805,1,1,1,1,1,1,1,1,1,1
55,sequence_40864,1,1,1,1,1,1,1,1,1,1
56,sequence_40808,1,1,1,1,1,1,1,1,1,1
57,sequence_40810,1,1,1,1,1,1,1,1,1,1
58,sequence_40862,1,1,1,1,1,1,1,1,1,1
59,sequence_40859,1,1,1,1,1,1,1,1,1,1
60,sequence_40836,1,1,1,1,1,1,1,1,1,1
61,sequence_40837,1,1,1,1,1,1,1,1,1,1
62,sequence_40820,1,1,1,1,1,1,1,1,1,1
63,sequence_40821,1,1,1,1,1,1,1,1,1,1
64,sequence_40822,1,1,1,1,1,1,1,1,1,1
65,sequence_40823,1,1,1,1,1,1,1,1,1,1
66,sequence_40834,1,1,1,1,1,1,1,1,1,1
67,sequence_40832,1,1,1,1,1,1,1,1,1,1
68,sequence_40833,1,1,1,1,1,1,1,1,1,1
69,sequence_40830,1,1,1,1,1,1,1,1,1,1
70,sequence_40798,1,1,1,1,1,1,1,1,1,1
71,sequence_40865,1,1,1,1,1,1,1,1,1,1
72,sequence_40863,1,1,1,1,1,1,1,1,1,1
73,sequence_40801,1,1,1,1,1,1,1,1,1,1
74,sequence_40802,1,1,1,1,1,1,1,1,1,1
75,sequence_40796,1,1,1,1,1,1,1,1,1,1
76,sequence_40795,1,1,1,1,1,1,1,1,1,1
77,sequence_40866,1,1,1,1,1,1,1,1,1,1
78,sequence_40799,1,1,1,1,1,1,1,1,1,1
79,sequence_40788,1,1,1,1,1,1,1,1,1,1
80,sequence_40867,1,1,1,1,1,1,1,1,1,1
