,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,4,4,4,4,4,4,4,4,4,4
1,sequence_47684,20,20,20,20,20,20,20,20,20,20
2,sequence_47789,15,15,15,15,15,15,15,15,15,15
3,sequence_47790,17,17,17,17,17,17,17,17,17,17
4,sequence_47781,2,2,2,2,2,2,2,2,2,2
5,sequence_47777,2,2,2,2,2,2,2,2,2,2
6,sequence_47779,2,2,2,2,2,2,2,2,2,2
7,sequence_47784,4,4,4,4,4,4,4,4,4,4
8,sequence_47786,11,11,11,11,11,11,11,11,11,11
9,sequence_47782,4,4,4,4,4,4,4,4,4,4
10,sequence_47772,4,4,4,4,4,4,4,4,4,4
11,sequence_47795,10,10,10,10,10,10,10,10,10,10
12,sequence_47776,4,4,4,4,4,4,4,4,4,4
13,sequence_47685,20,20,20,20,20,20,20,20,20,20
14,sequence_47679,23,23,23,23,23,23,23,23,23,23
15,sequence_47695,8,8,8,8,8,8,8,8,8,8
16,sequence_47710,28,28,28,28,28,28,28,28,28,28
17,sequence_47686,9,9,9,9,9,9,9,9,9,9
18,sequence_47778,15,15,15,15,15,15,15,15,15,15
19,sequence_47780,15,15,15,15,15,15,15,15,15,15
20,sequence_47785,15,15,15,15,15,15,15,15,15,15
21,sequence_47803,12,12,12,12,12,12,12,12,12,12
22,sequence_47663,20,20,20,20,20,20,20,20,20,20
23,sequence_47757,26,26,26,26,26,26,26,26,26,26
24,sequence_47783,6,6,6,6,6,6,6,6,6,6
25,sequence_47796,21,21,21,21,21,21,21,21,21,21
26,sequence_47750,4,4,4,4,4,4,4,4,4,4
27,sequence_47760,4,4,4,4,4,4,4,4,4,4
28,sequence_47773,25,25,25,25,25,25,25,25,25,25
29,sequence_47768,2,2,2,2,2,2,2,2,2,2
30,sequence_47771,26,26,26,26,26,26,26,26,26,26
31,sequence_47681,14,14,14,14,14,14,14,14,14,14
32,sequence_47696,24,24,24,24,24,24,24,24,24,24
33,sequence_47680,23,23,23,23,23,23,23,23,23,23
34,sequence_47673,1,1,1,1,1,1,1,1,1,1
35,sequence_47700,23,23,23,23,23,23,23,23,23,23
36,sequence_47689,8,8,8,8,8,8,8,8,8,8
37,sequence_47683,7,7,7,7,7,7,7,7,7,7
38,sequence_47697,22,22,22,22,22,22,22,22,22,22
39,sequence_47678,9,9,9,9,9,9,9,9,9,9
40,sequence_47682,7,7,7,7,7,7,7,7,7,7
41,sequence_47724,7,7,7,7,7,7,7,7,7,7
42,sequence_47806,15,15,15,15,15,15,15,15,15,15
43,sequence_47807,12,12,12,12,12,12,12,12,12,12
44,sequence_47804,12,12,12,12,12,12,12,12,12,12
45,sequence_47800,12,12,12,12,12,12,12,12,12,12
46,sequence_47799,12,12,12,12,12,12,12,12,12,12
47,sequence_47664,3,3,3,3,3,3,3,3,3,3
48,sequence_47666,8,8,8,8,8,8,8,8,8,8
49,sequence_47671,28,28,28,28,28,28,28,28,28,28
50,sequence_47727,6,6,6,6,6,6,6,6,6,6
51,sequence_47756,6,6,6,6,6,6,6,6,6,6
52,sequence_47775,6,6,6,6,6,6,6,6,6,6
53,sequence_47730,21,21,21,21,21,21,21,21,21,21
54,sequence_47758,21,21,21,21,21,21,21,21,21,21
55,sequence_47797,16,16,16,16,16,16,16,16,16,16
56,sequence_47798,12,12,12,12,12,12,12,12,12,12
57,sequence_47751,0,0,0,0,0,0,0,0,0,0
58,sequence_47741,13,13,13,13,13,13,13,13,13,13
59,sequence_47743,13,13,13,13,13,13,13,13,13,13
60,sequence_47752,0,0,0,0,0,0,0,0,0,0
61,sequence_47745,13,13,13,13,13,13,13,13,13,13
62,sequence_47747,13,13,13,13,13,13,13,13,13,13
63,sequence_47748,26,26,26,26,26,26,26,26,26,26
64,sequence_47749,26,26,26,26,26,26,26,26,26,26
65,sequence_47744,13,13,13,13,13,13,13,13,13,13
66,sequence_47721,9,9,9,9,9,9,9,9,9,9
67,sequence_47759,5,5,5,5,5,5,5,5,5,5
68,sequence_47774,25,25,25,25,25,25,25,25,25,25
