,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,7,7,7,7,7,7,7,7,7,7
1,sequence_47684,3,3,3,3,3,3,3,3,3,3
2,sequence_47789,24,24,24,24,24,24,24,24,24,24
3,sequence_47790,24,24,24,24,24,24,24,24,24,24
4,sequence_47781,7,7,7,7,7,7,7,7,7,7
5,sequence_47777,26,26,26,26,26,26,26,26,26,26
6,sequence_47779,26,26,26,26,26,26,26,26,26,26
7,sequence_47784,2,2,2,2,2,2,2,2,2,2
8,sequence_47786,7,7,7,7,7,7,7,7,7,7
9,sequence_47782,2,2,2,2,2,2,2,2,2,2
10,sequence_47772,7,7,7,7,7,7,7,7,7,7
11,sequence_47795,9,9,9,9,9,9,9,9,9,9
12,sequence_47776,7,7,7,7,7,7,7,7,7,7
13,sequence_47685,14,14,14,14,14,14,14,14,14,14
14,sequence_47679,3,3,3,3,3,3,3,3,3,3
15,sequence_47695,17,17,17,17,17,17,17,17,17,17
16,sequence_47710,17,17,17,17,17,17,17,17,17,17
17,sequence_47686,25,25,25,25,25,25,25,25,25,25
18,sequence_47778,6,6,6,6,6,6,6,6,6,6
19,sequence_47780,6,6,6,6,6,6,6,6,6,6
20,sequence_47785,24,24,24,24,24,24,24,24,24,24
21,sequence_47803,4,4,4,4,4,4,4,4,4,4
22,sequence_47663,0,0,0,0,0,0,0,0,0,0
23,sequence_47757,2,2,2,2,2,2,2,2,2,2
24,sequence_47783,5,5,5,5,5,5,5,5,5,5
25,sequence_47796,22,22,22,22,22,22,22,22,22,22
26,sequence_47750,7,7,7,7,7,7,7,7,7,7
27,sequence_47760,7,7,7,7,7,7,7,7,7,7
28,sequence_47773,24,24,24,24,24,24,24,24,24,24
29,sequence_47768,26,26,26,26,26,26,26,26,26,26
30,sequence_47771,2,2,2,2,2,2,2,2,2,2
31,sequence_47681,14,14,14,14,14,14,14,14,14,14
32,sequence_47696,10,10,10,10,10,10,10,10,10,10
33,sequence_47680,3,3,3,3,3,3,3,3,3,3
34,sequence_47673,3,3,3,3,3,3,3,3,3,3
35,sequence_47700,3,3,3,3,3,3,3,3,3,3
36,sequence_47689,17,17,17,17,17,17,17,17,17,17
37,sequence_47683,12,12,12,12,12,12,12,12,12,12
38,sequence_47697,13,13,13,13,13,13,13,13,13,13
39,sequence_47678,25,25,25,25,25,25,25,25,25,25
40,sequence_47682,12,12,12,12,12,12,12,12,12,12
41,sequence_47724,12,12,12,12,12,12,12,12,12,12
42,sequence_47806,6,6,6,6,6,6,6,6,6,6
43,sequence_47807,4,4,4,4,4,4,4,4,4,4
44,sequence_47804,4,4,4,4,4,4,4,4,4,4
45,sequence_47800,4,4,4,4,4,4,4,4,4,4
46,sequence_47799,4,4,4,4,4,4,4,4,4,4
47,sequence_47664,18,18,18,18,18,18,18,18,18,18
48,sequence_47666,0,0,0,0,0,0,0,0,0,0
49,sequence_47671,0,0,0,0,0,0,0,0,0,0
50,sequence_47727,5,5,5,5,5,5,5,5,5,5
51,sequence_47756,5,5,5,5,5,5,5,5,5,5
