,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_40826,1,0,0,0,0,0,0,0,0,0
1,sequence_40787,6,7,7,7,7,7,7,8,0,0
2,sequence_40789,1,0,0,0,0,0,0,0,0,0
3,sequence_40794,6,7,7,7,7,7,7,8,0,0
4,sequence_40806,1,0,0,0,0,0,0,0,0,0
5,sequence_40807,1,0,0,0,0,0,0,0,0,0
6,sequence_40809,1,0,0,0,0,0,0,0,0,0
7,sequence_40811,1,0,0,0,0,0,0,0,0,0
8,sequence_40813,1,0,0,0,0,0,0,0,0,0
9,sequence_40814,0,1,1,1,1,1,1,1,0,0
10,sequence_40845,0,1,1,1,1,1,1,1,0,0
11,sequence_40855,1,0,0,0,0,0,0,0,0,0
12,sequence_40857,0,1,1,1,1,1,1,1,0,0
13,sequence_40840,1,0,0,0,0,0,0,0,0,0
14,sequence_40841,1,0,0,0,0,0,0,0,0,0
15,sequence_40842,1,0,0,0,0,0,0,0,0,0
16,sequence_40844,3,4,4,4,4,4,4,5,0,0
17,sequence_40838,1,0,0,0,0,0,0,0,0,0
18,sequence_40816,1,2,2,2,2,2,2,2,0,0
19,sequence_40817,1,0,0,0,0,0,0,0,0,0
20,sequence_40818,1,2,2,2,2,2,2,3,0,0
21,sequence_40827,10,11,10,10,11,10,11,11,0,0
22,sequence_40828,10,11,10,10,11,10,11,11,0,0
23,sequence_40829,2,3,3,3,3,3,3,4,0,0
24,sequence_40831,2,3,3,3,3,3,3,4,0,0
25,sequence_40856,4,5,5,5,5,5,5,6,0,0
26,sequence_40815,4,5,5,5,5,5,5,6,0,0
27,sequence_40851,3,4,4,4,4,4,4,5,0,0
28,sequence_40847,4,5,5,5,5,5,5,6,0,0
29,sequence_40858,4,5,5,5,5,5,5,6,0,0
30,sequence_40852,4,5,5,5,5,5,5,6,0,0
31,sequence_40843,4,5,5,5,5,5,5,6,0,0
32,sequence_40846,3,4,4,4,4,4,4,5,0,0
33,sequence_40791,5,6,6,6,6,6,6,7,0,0
34,sequence_40793,5,6,6,6,6,6,6,7,0,0
35,sequence_40861,4,5,5,5,5,5,5,6,0,0
36,sequence_40812,4,5,5,5,5,5,5,6,0,0
37,sequence_40854,4,5,5,5,5,5,5,6,0,0
38,sequence_40853,4,5,5,5,5,5,5,6,0,0
39,sequence_40848,4,5,5,5,5,5,5,6,0,0
40,sequence_40849,4,5,5,5,5,5,5,6,0,0
41,sequence_40850,4,5,5,5,5,5,5,6,0,0
42,sequence_40792,6,7,7,7,7,7,7,8,0,0
43,sequence_40790,6,7,7,7,7,7,7,8,0,0
44,sequence_40860,1,0,0,0,0,0,0,0,0,0
45,sequence_40839,1,0,0,0,0,0,0,0,0,0
46,sequence_40835,7,8,8,8,8,8,8,9,0,0
47,sequence_40819,1,0,0,0,0,0,0,0,0,0
48,sequence_40824,1,0,0,0,0,0,0,0,0,0
49,sequence_40825,1,0,0,0,0,0,0,0,0,0
50,sequence_40797,1,0,0,0,0,0,0,0,0,0
51,sequence_40800,1,0,0,0,0,0,0,0,0,0
52,sequence_40803,1,0,0,0,0,0,0,0,0,0
53,sequence_40804,1,0,0,0,0,0,0,0,0,0
54,sequence_40805,1,0,0,0,0,0,0,0,0,0
55,sequence_40864,1,0,0,0,0,0,0,0,0,0
56,sequence_40808,1,0,0,0,0,0,0,0,0,0
57,sequence_40810,1,0,0,0,0,0,0,0,0,0
58,sequence_40862,8,9,12,12,9,12,9,13,0,0
59,sequence_40859,9,10,9,9,10,9,10,10,0,0
60,sequence_40836,7,8,8,8,8,8,8,9,0,0
61,sequence_40837,7,8,8,8,8,8,8,9,0,0
62,sequence_40820,11,12,11,11,12,11,12,12,0,0
63,sequence_40821,11,12,11,11,12,11,12,12,0,0
64,sequence_40822,1,0,0,0,0,0,0,0,0,0
65,sequence_40823,1,0,0,0,0,0,0,0,0,0
66,sequence_40834,1,0,0,0,0,0,0,0,0,0
67,sequence_40832,1,0,0,0,0,0,0,0,0,0
68,sequence_40833,1,0,0,0,0,0,0,0,0,0
69,sequence_40830,10,11,10,10,11,10,11,11,0,0
70,sequence_40798,10,11,10,10,11,10,11,11,0,0
71,sequence_40865,10,11,10,10,11,10,11,11,0,0
72,sequence_40863,11,12,11,11,12,11,12,12,0,0
73,sequence_40801,10,11,10,10,11,10,11,11,0,0
74,sequence_40802,8,9,12,12,9,12,9,13,0,0
75,sequence_40796,11,12,11,11,12,11,12,12,0,0
76,sequence_40795,11,12,11,11,12,11,12,12,0,0
77,sequence_40866,10,11,10,10,11,10,11,11,0,0
78,sequence_40799,10,11,10,10,11,10,11,11,0,0
79,sequence_40788,10,11,10,10,11,10,11,11,0,0
80,sequence_40867,10,11,10,10,11,10,11,11,0,0
